id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1263606110596018181,1263606110596018181,2020-05-21 23:02:28 UTC,2020-05-21,23:02:28,0,721528940951638017,tosakate,Kathleen Lukas-Miller,,"Frontier Communications in Angola, Indiana is the worst internet service provider. DO NOT USE IF YOU HAVE OTHER CHOICES.",en,[],[],[],0,0,0,[],[],https://twitter.com/tosakate/status/1263606110596018181,False,,0,,,,,,,,[],,,,
1174727951268700165,1174727951268700165,2019-09-19 16:52:23 UTC,2019-09-19,16:52:23,0,983371667249532928,angola_cables,Angola Cables,,"Angola Cables is changing internet connectivity from south to south with an alternative, more efficient, low latency path for Internet Service Provider (ISPs).   Watch Full video:  https://t.co/J7MVK9JPU8  https://t.co/GZCnr0bGF3",en,[],['http://bit.ly/30ebgjm'],['https://pbs.twimg.com/media/EE141q4XkAAHFkU.jpg'],0,1,2,[],[],https://twitter.com/angola_cables/status/1174727951268700165,False,,1,https://pbs.twimg.com/media/EE141q4XkAAHFkU.jpg,,,,,,,[],,,,
717437290411397120,717437290411397120,2016-04-05 19:42:34 UTC,2016-04-05,19:42:34,0,284658938,wthdnews,WTHD Thunder Country,,Angola Board of Works approves agreement with Internet service provider.  https://t.co/auAD472a1k,en,[],['http://wthd.net/news.php?sb_news_id=19392'],[],0,0,0,[],[],https://twitter.com/wthdnews/status/717437290411397120,False,,0,,,,,,,,[],,,,
597688677519745024,597688677519745024,2015-05-11 09:04:19 UTC,2015-05-11,09:04:19,0,3026556664,countryresearch,Country Research,,#Angola - Internet Service Provider Lines : 2015 #Market #Forecast :  http://t.co/hMhVfIYPoH,en,[],['http://dg-di.us/CTY/AO/518111_L.htm'],[],0,0,0,"['angola', 'market', 'forecast']",[],https://twitter.com/CountryResearch/status/597688677519745024,False,,0,,,,,,,,[],,,,
445226127230263297,445226127230263297,2014-03-16 15:52:35 UTC,2014-03-16,15:52:35,0,447023256,scartrakk,Alexandre Juca,,"How to hack Angolas biggest Internet Service Provider: Angola Telecom, huge security hole in all new devices....  http://t.co/QSfoZmm074",en,[],['http://fb.me/3PHEW950j'],[],0,0,0,[],[],https://twitter.com/Scartrakk/status/445226127230263297,False,,0,,,,,,,,[],,,,
390545939573661696,390545939573661696,2013-10-16 18:33:02 UTC,2013-10-16,18:33:02,0,493182455,lonelylagosian,Lonely Lagosian,,Which vendor is the best internet service provider in #Nigeria #Kenya #Ghana #SouthAfrica #Angola,en,[],[],[],0,1,0,"['nigeria', 'kenya', 'ghana', 'southafrica', 'angola']",[],https://twitter.com/LonelyLagosian/status/390545939573661696,False,,0,,,,,,,,[],,,,
256738565764042752,256738565764042752,2012-10-12 12:50:18 UTC,2012-10-12,12:50:18,0,149978825,ken_ict,Kenya ICT News,,Angola’s NetOne launches YahClick: Angolan Internet Service Provider Net One has launched YahClick in an effort ...  http://t.co/VbaQGhIR,en,[],['http://bit.ly/Q5bSZW'],[],0,0,0,[],[],https://twitter.com/Ken_ICT/status/256738565764042752,False,,0,,,,,,,,[],,,,
256734621587361793,256734621587361793,2012-10-12 12:34:38 UTC,2012-10-12,12:34:38,0,18945060,humnews,HUMNEWS,,“@CameroonTV: Angola’s NetOne launches YahClick: #Angola Internet Service Provider  http://t.co/5OwIHtIL” #Africa  http://t.co/1zHy0eyt,en,"[{'screen_name': 'cameroontv', 'name': 'cameroontv🇨🇲', 'id': '21582325'}]","['http://bit.ly/WbakTT', 'http://HUMNEWS.COM']",[],0,0,0,"['angola', 'africa']",[],https://twitter.com/HUMNEWS/status/256734621587361793,False,,0,,,,,,,,[],,,,
256733427682930688,256733427682930688,2012-10-12 12:29:53 UTC,2012-10-12,12:29:53,0,68653846,rsai_en,RS,,Angola’s NetOne launches YahClick: Angolan Internet Service Provider Net One has launched YahClick in an effort ...  http://t.co/bdIlcYca,en,[],['http://bit.ly/Q5bSZW'],[],0,0,0,[],[],https://twitter.com/rsai_en/status/256733427682930688,False,,0,,,,,,,,[],,,,
256733381474263043,256733381474263043,2012-10-12 12:29:42 UTC,2012-10-12,12:29:42,0,481057465,akanchawadotcom,akanchawa.com,,Angola’s NetOne launches YahClick: Angolan Internet Service Provider Net One has launched YahClick in an effort ...  http://t.co/xSvewYeM,en,[],['http://bit.ly/Q5bSZW'],[],0,0,0,[],[],https://twitter.com/akanchawadotcom/status/256733381474263043,False,,0,,,,,,,,[],,,,
256733372435554305,256733372435554305,2012-10-12 12:29:40 UTC,2012-10-12,12:29:40,0,21582325,cameroontv,CameroonTV🇨🇲,,Angola’s NetOne launches YahClick: Angolan Internet Service Provider Net One has launched YahClick in an effort ...  http://t.co/iXDMfscy,en,[],['http://bit.ly/WbakTT'],[],0,0,0,[],[],https://twitter.com/CameroonTV/status/256733372435554305,False,,0,,,,,,,,[],,,,
