id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344539799814877186,1344376438665916417,2020-12-31 07:04:03 UTC,2020-12-31,07:04:03,0,1090711572165640192,matrumery,Goodwill Ambassador,,"@ObiMomoh @DawengM @Ayoolamide84 @channelstv When as Nigeria had good road. Before PDP took power, most of our federal road were one lane. I know you can't remember that. Ibadan-lagos was one lane, ijebu ode- Benin was one lane etc. How telecommunications sector was almost dead before PDP came to power.",en,[],[],[],1,0,1,[],[],https://twitter.com/matrumery/status/1344539799814877186,False,,0,,,,,,,,"[{'screen_name': 'ObiMomoh', 'name': 'Abdulrazaq.O.M', 'id': '995687649880002560'}, {'screen_name': 'DawengM', 'name': 'Uncle Weng🇳🇬', 'id': '312039478'}, {'screen_name': 'Ayoolamide84', 'name': 'AyoOlamide 🇳🇬', 'id': '626509963'}, {'screen_name': 'channelstv', 'name': 'Channels Television', 'id': '125346858'}]",,,,
1341884592794595328,1341884592794595328,2020-12-23 23:13:12 UTC,2020-12-23,23:13:12,0,2876262236,aazimath,🇫🇷Azimath Adjassa🇳🇬,,Je suis musulmane  J'ai étudié entre le Bénin et le Sénégal.  J'ai eu un diplôme d'ingénieur en Télécommunications à 22ans. J'ai obtenu mon Master spécialisé quand j'avais 24 ans. 10 ans d'expériences aujourd'hui ! J'ai travaillé à l'ONU entre autres. Tenez vous tranquille,fr,[],[],[],2,26,115,[],[],https://twitter.com/Aazimath/status/1341884592794595328,False,https://twitter.com/StellaKamnga/status/1340766803392421890,0,,,,,,,,[],,,,
1339485686953611265,1339256615346835457,2020-12-17 08:20:48 UTC,2020-12-17,08:20:48,0,818914965423878144,_imdams,Damas HOUESSOU,,"@the_icyy_one @MTNBenin @gouvbenin en tout cas , d'après le rapport , il y aurait en cours un 3ème opérateur ... @MTNBenin a un très mauvais rapport qualité prix  ... trop de pagailles avec ces opérateurs de télécommunications au #Bénin , @the_icyy_one  comme tu l'as dis c'est vraiment dégueulasse ,  https://t.co/sBXwwsNICF",fr,"[{'screen_name': 'mtnbenin', 'name': 'mtn benin', 'id': '789546061'}, {'screen_name': 'the_icyy_one', 'name': 'pearl\U0001f90e', 'id': '955215191746203650'}]",[],['https://pbs.twimg.com/media/EpbPHblXYAAn9EY.jpg'],1,1,0,['bénin'],[],https://twitter.com/_imdams/status/1339485686953611265,False,,1,https://pbs.twimg.com/media/EpbPHblXYAAn9EY.jpg,,,,,,,"[{'screen_name': 'the_icyy_one', 'name': 'Pearl\U0001f90e', 'id': '955215191746203650'}, {'screen_name': 'MTNBenin', 'name': 'MTN Benin', 'id': '789546061'}, {'screen_name': 'gouvbenin', 'name': 'Gouvernement du Bénin 🇧🇯', 'id': '3437782151'}]",,,,
1339463689787895808,1339251903696429060,2020-12-17 06:53:24 UTC,2020-12-17,06:53:24,0,1078194163173281792,armel_laleye,Armel Laleye,,@MTNBenin @urbzan En quoi est-ce que ce forfait nous offre une meilleure qualité de connexion ? Vous n'avez pas un bon débit et en plus vous êtes chers. @gouvbenin devrait réagir... les clients subissent trop de choses de la part des réseaux de télécommunication au Bénin.,fr,"[{'screen_name': 'gouvbenin', 'name': 'gouvernement du bénin 🇧🇯', 'id': '3437782151'}]",[],[],0,0,2,[],[],https://twitter.com/armel_laleye/status/1339463689787895808,False,,0,,,,,,,,"[{'screen_name': 'MTNBenin', 'name': 'MTN Benin', 'id': '789546061'}, {'screen_name': 'urbzan', 'name': 'Urbain 🇧🇯', 'id': '302866607'}]",,,,
1339285245498171392,1339276600932782083,2020-12-16 19:04:19 UTC,2020-12-16,19:04:19,0,1216704933254303744,iamolushegun,A fall from Grace🤲🏿🥲,,@DeodatMariyo @iamyoussouf où est notre association des consommateurs du Bénin ?où est le ministre de la télécommunication ?.Ils se taisent et on nous prend pour des moutons bêêêhhh!!!!,fr,[],[],[],1,2,1,[],[],https://twitter.com/Iamolushegun/status/1339285245498171392,False,,0,,,,,,,,"[{'screen_name': 'DeodatMariyo', 'name': 'ELEKTRA SAMA⚡⚡', 'id': '940512815638564864'}, {'screen_name': 'iamyoussouf', 'name': 'The Green Card Owner \U0001f970🇧🇯', 'id': '1010455383016648704'}]",,,,
1338860330240200706,1338860330240200706,2020-12-15 14:55:52 UTC,2020-12-15,14:55:52,0,233960842,andyrolands,Aisagbonbu Anderson,,"What sought of ban did @NgComCommission place on sim retrieval, registration and upgrade?  I just left @GloWorld office in Benin with utmost dismay, the ban is not only on them but every other telecommunication providers. #Thread",en,"[{'screen_name': 'ngcomcommission', 'name': 'ncc.gov.ng', 'id': '95291791'}, {'screen_name': 'gloworld', 'name': 'glo nigeria', 'id': '276939439'}]",[],[],3,0,0,['thread'],[],https://twitter.com/andyrolands/status/1338860330240200706,False,,0,,,,,,,,[],,,,
1329667176316407810,1329667176316407810,2020-11-20 06:05:33 UTC,2020-11-20,06:05:33,0,855789529982226434,kot_hacker,Pauline.,,Is there a Kenyan community in #Benin or #Togo asking for 7of us soon to be there. #community #programminglife #CodeLife #Engineering #telecommunication,en,[],[],[],7,2,22,"['benin', 'togo', 'community', 'programminglife', 'codelife', 'engineering', 'telecommunication']",[],https://twitter.com/kot_hacker/status/1329667176316407810,False,,0,,,,,,,,[],,,,
1324096723493523470,1324096723493523470,2020-11-04 21:10:34 UTC,2020-11-04,21:10:34,0,2924983031,ciomag1,CIO MAG,,"#TNT, au #Bénin @AurelieASZ fait le point avec la #HAAC sur sa mission  En savoir plus ⤵  https://t.co/FSaTC8Qn6H #wasexo  #telecommunications #telediffusion #satellite  https://t.co/Km89DNltFN",fr,"[{'screen_name': 'aurelieasz', 'name': 'aurélie adam soule zoumarou', 'id': '2432833147'}]",['https://bit.ly/3jSlifW'],['https://pbs.twimg.com/media/EmAi8yWWkAMNdso.jpg'],0,1,1,"['tnt', 'bénin', 'haac', 'wasexo', 'telecommunications', 'telediffusion', 'satellite']",[],https://twitter.com/ciomag1/status/1324096723493523470,False,,1,https://pbs.twimg.com/media/EmAi8yWWkAMNdso.jpg,,,,,,,[],,,,
1318286533967990784,1318286533967990784,2020-10-19 20:22:56 UTC,2020-10-19,20:22:56,0,163594070,onwardng,Onward Nigeria,,"Just in: Anonymous hacks ANOTHER telecommunications giants, shares N1000 credit to all subscribers   https://t.co/ZjqQfLkbXs  #EndSARS  #EndPoliceBrutality  #EndPoliceBrutalityinNigera  #EndSARSImmediately  Benin  https://t.co/yzZCMI7paO",en,[],['https://cyberreporters.com/just-in-anonymous-hacks-telecommunications-giants-shares-n1000-credit-to-all-subscribers/'],['https://pbs.twimg.com/media/Ekt-nHPW0AA2wiB.jpg'],0,3,1,"['endsars', 'endpolicebrutality', 'endpolicebrutalityinnigera', 'endsarsimmediately']",[],https://twitter.com/OnwardNG/status/1318286533967990784,False,,1,https://pbs.twimg.com/media/Ekt-nHPW0AA2wiB.jpg,,,,,,,[],,,,
1318234405299736576,1318234405299736576,2020-10-19 16:55:48 UTC,2020-10-19,16:55:48,0,163594070,onwardng,Onward Nigeria,,"Just in: Anonymous hacks telecommunications giants, shares N1000 credit to all subscribers   https://t.co/ZjqQfLkbXs  #EndSARS Benin #EndPoliceBrutalityinNigeraNOW  https://t.co/jUQbr19Tvt",en,[],['https://cyberreporters.com/just-in-anonymous-hacks-telecommunications-giants-shares-n1000-credit-to-all-subscribers/'],['https://pbs.twimg.com/media/EktPMYXXUAcd2uM.jpg'],1,3,9,"['endsars', 'endpolicebrutalityinnigeranow']",[],https://twitter.com/OnwardNG/status/1318234405299736576,False,,1,https://pbs.twimg.com/media/EktPMYXXUAcd2uM.jpg,,,,,,,[],,,,
