id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344522429771747330,1344522429771747330,2020-12-31 05:55:01 UTC,2020-12-31,05:55:01,0,1627205623,warauha,warau,,#botswana comment appeler de ou vers ce #pays #appel #international #Telephone #tourisme #vacances #voyage   https://t.co/NUqj0siVcs,fr,[],['https://www.appel-international.net/appel-international-botswana.php'],[],0,0,0,"['botswana', 'pays', 'appel', 'international', 'telephone', 'tourisme', 'vacances', 'voyage']",[],https://twitter.com/warauha/status/1344522429771747330,False,,0,,,,,,,,[],,,,
1342861488344748034,1342861488344748034,2020-12-26 15:55:02 UTC,2020-12-26,15:55:02,0,1627205623,warauha,warau,,#botswana #indicatif telephonique #pays #tourisme #vacances #telephone   https://t.co/doY4QZTaSX,en,[],['https://www.indicatif-telephonique.warau.fr/indicatif-botswana.php'],[],0,0,0,"['botswana', 'indicatif', 'pays', 'tourisme', 'vacances', 'telephone']",[],https://twitter.com/warauha/status/1342861488344748034,False,,0,,,,,,,,[],,,,
1342489539126947842,1342489539126947842,2020-12-25 15:17:03 UTC,2020-12-25,15:17:03,0,1627205623,warauha,warau,,#botswana #indicatif telephonique #pays #tourisme #vacances #telephone   https://t.co/doY4QZTaSX,en,[],['https://www.indicatif-telephonique.warau.fr/indicatif-botswana.php'],[],0,0,0,"['botswana', 'indicatif', 'pays', 'tourisme', 'vacances', 'telephone']",[],https://twitter.com/warauha/status/1342489539126947842,False,,0,,,,,,,,[],,,,
1342444239494512640,1342444239494512640,2020-12-25 12:17:02 UTC,2020-12-25,12:17:02,0,1627205623,warauha,warau,,#botswana comment appeler de ou vers ce #pays #appel #international #Telephone #tourisme #vacances #voyage   https://t.co/NUqj0siVcs,fr,[],['https://www.appel-international.net/appel-international-botswana.php'],[],0,0,0,"['botswana', 'pays', 'appel', 'international', 'telephone', 'tourisme', 'vacances', 'voyage']",[],https://twitter.com/warauha/status/1342444239494512640,False,,0,,,,,,,,[],,,,
1335653004830253060,1335653004830253060,2020-12-06 18:31:06 UTC,2020-12-06,18:31:06,0,19641366,nobiorah,Ndubisi Obiorah,,"A new report names Nigeria, Kenya, Zimbabwe, Botswana, Equatorial Guinea, Morocco, and Zambia as the African countries that have been employing Circles’ surveillance platforms to exploit flaws in telecoms systems and to access telephone calls, SMS messages and location services.",en,[],[],[],0,1,1,[],[],https://twitter.com/nobiorah/status/1335653004830253060,False,,0,,,,,,,,[],,,,
1335538462074744833,1335538462074744833,2020-12-06 10:55:57 UTC,2020-12-06,10:55:57,0,93270860,misterdeejayug,MisterDeejayUG,,"""Nigeria, Kenya, Zimbabwe, Botswana, Equatorial Guinea, Morocco, and Zambia have been employing Circles’ surveillance platforms to exploit flaws in telecoms systems and to access telephone calls, SMS messages and location services.""  @qzafrica     https://t.co/POVW7zBB5g",en,"[{'screen_name': 'qzafrica', 'name': 'quartz africa', 'id': '3044665445'}]",['https://qz.com/africa/1940897/nigeria-kenya-use-israeli-surveillance-tool-to-listen-to-calls/?utm_source=email&utm_medium=africa-weekly-brief&utm_content=10299877'],[],0,1,0,[],[],https://twitter.com/misterdeejayug/status/1335538462074744833,False,,0,,,,,,,,[],,,,
1335501467633950721,1335501465645813766,2020-12-06 08:28:56 UTC,2020-12-06,08:28:56,0,2987516222,juliawraith,Julia Wraith,,"communications of citizens.  A new report names Nigeria, Kenya, Zimbabwe, Botswana, Equatorial Guinea, Morocco and Zambia as the African countries that have been employing Circles’ surveillance platforms to exploit flaws in telecoms systems and to access telephone calls, SMS -",en,[],[],[],1,0,0,[],[],https://twitter.com/JuliaWraith/status/1335501467633950721,False,,0,,,,,,,,[],,,,
1335147866298470401,1335147866298470401,2020-12-05 09:03:51 UTC,2020-12-05,09:03:51,0,2801950928,decakelechi,Kelechi Deca,,"While poverty is on the rise in Africa, a  new report shows that Nigeria, Kenya, Zimbabwe, Botswana, Equatorial Guinea, Morocco, and Zambia spent millions of $ to deploy Circles’ Surveillance  to spy on  telephone calls, SMS messages and location services of their citizens.",en,[],[],[],58,1162,1460,[],[],https://twitter.com/DecaKelechi/status/1335147866298470401,False,,0,,,,,,,,[],,,,
1334824624283115520,1334824624283115520,2020-12-04 11:39:24 UTC,2020-12-04,11:39:24,0,1232017728,haruna_hp,Ricochet!,,"A new report names Nigeria, Kenya, Zimbabwe, Botswana, Equatorial Guinea, Morocco, and Zambia as the African countries that have been employing Circles’ surveillance platforms to access telephone calls, SMS messages and location services:  https://t.co/jJtbtYc2hB",en,[],['https://qz.com/africa/1940897/nigeria-kenya-use-israeli-surveillance-tool-to-listen-to-calls/'],[],0,0,0,[],[],https://twitter.com/haruna_hp/status/1334824624283115520,False,,0,,,,,,,,[],,,,
1334807990571048961,1334807990571048961,2020-12-04 10:33:19 UTC,2020-12-04,10:33:19,0,1230217143335243776,mayorwarri,Mayor of Warri,,"A new report names Nigeria, Kenya, Zimbabwe, Botswana, Equatorial Guinea, as the African countries that have been employing Circles’ surveillance platforms to exploit flaws in telecoms systems &amp; to access telephone calls, SMS messages and location services  https://t.co/d06sFORl8R",en,[],['https://qz.com/africa/1940897/nigeria-kenya-use-israeli-surveillance-tool-to-listen-to-calls/?utm_source=google-news'],[],0,1,0,[],[],https://twitter.com/MayorWarri/status/1334807990571048961,False,,0,,,,,,,,[],,,,
