id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1309769790786076672,1309769787443236864,2020-09-26 08:20:27 UTC,2020-09-26,08:20:27,0,3084419829,akezanet,AKEZA Burundi,,It is worth noting Francis Olivier has managed to initiate a new work item on requirements for management of application services over cloud and broadband ecosystem in Burundi.   https://t.co/6sPw8eZtYd  #akezanet #Lesbeautesdecheznous #ITU #FrancisOlivierCUBAHIRO #Burundi,en,[],['http://english.akeza.net/francis-olivier-cubahiro-elected-chairman-of-the-internet-society-burundi-chapter/'],[],0,7,4,"['akezanet', 'lesbeautesdecheznous', 'itu', 'francisoliviercubahiro', 'burundi']",[],https://twitter.com/akezanet/status/1309769790786076672,False,,0,,,,,,,,[],,,,
1242083568991469570,1242081790631821319,2020-03-23 13:39:34 UTC,2020-03-23,13:39:34,0,142051293,flofflach,Flo Fflach 😷 love thy neighbour wear a mask,,"@sunnysingh_n6 and...in rural areas our broadband is a bit thin and might not cope. Have a webinar for an online course this week - hope it holds out (I have to turn my video off - and see people from Rwanda, Kenya &amp; Burundi having a better connection than mine!)",en,[],[],[],0,0,1,[],[],https://twitter.com/flofflach/status/1242083568991469570,False,,0,,,,,,,,"[{'screen_name': 'sunnysingh_n6', 'name': 'sunnysingh_n6', 'id': '1291473759984070656'}]",,,,
1231848877944451078,1231848877944451078,2020-02-24 07:50:33 UTC,2020-02-24,07:50:33,0,605399570,ilcafrica,ILC Africa,,"#MoreAfrica54 We feature #Burundi! It is among the few countries whose borders were not defined by colonizers. Recently, the government began the Burundi Broadband project &amp; will distribute connectivity by 2025! We celebrate Burundi for its history &amp; strides towards connectivity!  https://t.co/PtItbmx2CQ",en,[],[],['https://pbs.twimg.com/media/ERhoBr_WkAYma4Y.jpg'],0,0,1,"['moreafrica54', 'burundi']",[],https://twitter.com/ILCAfrica/status/1231848877944451078,False,,1,https://pbs.twimg.com/media/ERhoBr_WkAYma4Y.jpg,,,,,,,[],,,,
1226846174969286657,1226846174969286657,2020-02-10 12:31:36 UTC,2020-02-10,12:31:36,0,1620727603,cubahirofrancis,Cubahiro Francis,,"today : Parliament session. Ministry in charge of ICT invited to debate about : #DigitalDivide, #Broadband_acces_for_all, #ICT_gender_inclusion #youth_and_ict_tools #IGF_outcomes_implementation   @FSU_Burundi in its action plan  plans to solve significantly those challengers.  https://t.co/Pe37IZeegY",en,"[{'screen_name': 'fsu_burundi', 'name': 'fonds de service universel du burundi', 'id': '1065154921866174464'}]",[],"['https://pbs.twimg.com/media/EQaiDxpWkAEdCEw.jpg', 'https://pbs.twimg.com/media/EQaiDxgXkAUwvrl.jpg', 'https://pbs.twimg.com/media/EQaiDxkXkAE5Xbb.jpg', 'https://pbs.twimg.com/media/EQaiDx9XsAIab1T.jpg']",0,1,2,"['digitaldivide', 'broadband_acces_for_all', 'ict_gender_inclusion', 'youth_and_ict_tools', 'igf_outcomes_implementation']",[],https://twitter.com/CubahiroFrancis/status/1226846174969286657,False,,1,https://pbs.twimg.com/media/EQaiDxpWkAEdCEw.jpg,,,,,,,[],,,,
1192770844508008449,1192770844508008449,2019-11-08 11:48:24 UTC,2019-11-08,11:48:24,0,64366162,mohd_arif,"Mohd Arif,ACMA,MCISI",,"Research Deliver Insight into Burundi Telecoms, Mobile and Broadband Market 2019-2028  https://t.co/Dr3tjGRuAy",en,[],['https://ift.tt/2pSYTcu'],[],0,0,0,[],[],https://twitter.com/Mohd_Arif/status/1192770844508008449,False,,0,,,,,,,,[],,,,
1192770069232791552,1192770069232791552,2019-11-08 11:45:19 UTC,2019-11-08,11:45:19,0,44840411,einpresswirepr,EIN Presswire: Press Releases,,"Research Deliver Insight into Burundi Telecoms, Mobile and Broadband Market 2019-2028  https://t.co/d8ep8jLTOD",en,[],['http://s.einnews.com/p-YC_6OIT2'],[],0,0,0,[],[],https://twitter.com/EINPresswirePR/status/1192770069232791552,False,,0,,,,,,,,[],,,,
1187334201613471744,1187334201613471744,2019-10-24 11:45:07 UTC,2019-10-24,11:45:07,0,40850617,thenamibian,The Namibian,,"The Tanzania Telecommunications Corporation (TTCL) on Tuesday signed an agreement with Burundi Backbone Systems (BBS), aimed at providing broadband internet services to the tiny East African nation.  https://t.co/G61enUSnDm  https://t.co/QJFN7Ax3O4",en,[],['https://buff.ly/2BFR24i'],['https://pbs.twimg.com/media/EHpCKgyWsAApCgT.jpg'],0,7,12,[],[],https://twitter.com/TheNamibian/status/1187334201613471744,False,,1,https://pbs.twimg.com/media/EHpCKgyWsAApCgT.jpg,,,,,,,[],,,,
1187269823107076097,1187269823107076097,2019-10-24 07:29:18 UTC,2019-10-24,07:29:18,0,214813724,afridigital,Extensia,,BBS inks deal with Tanzania’s TTCL to improve Burundi’s broadband connectivity  https://t.co/88rNcoh9iW,en,[],['http://extensia-ltd.com/bbs-inks-deal-with-tanzanias-ttcl-to-improve-burundis-broadband-connectivity/'],[],0,2,5,[],[],https://twitter.com/Afridigital/status/1187269823107076097,False,,0,,,,,,,,[],,,,
1187069434361454595,1187069434361454595,2019-10-23 18:13:02 UTC,2019-10-23,18:13:02,0,477852336,georgenjoroge_,George Njoroge,,Tanzania to provide broadband Internet services to Burundi,en,[],[],[],0,0,1,[],[],https://twitter.com/georgenjoroge_/status/1187069434361454595,False,,0,,,,,,,,[],,,,
1186974073080946688,1186974073080946688,2019-10-23 11:54:06 UTC,2019-10-23,11:54:06,0,951161091190599680,ssonghainews,Ssonghai News,,Tanzania to provide broadband Internet services to Burundi. #doberrenews  https://t.co/mPDQMvEFLX,en,[],['https://doberre.com/tanzania-to-provide-broadband-internet-services-to-burundi/'],[],0,0,0,['doberrenews'],[],https://twitter.com/SsonghaiNews/status/1186974073080946688,False,,0,,,,,,,,[],,,,
1186966794126405632,1186966794126405632,2019-10-23 11:25:11 UTC,2019-10-23,11:25:11,0,13932012,stevesong,Steve Song🇨🇦🇿🇦,,Tanzania's TTCL to provide broadband services to Burundi's national fibre network. USD6M over 10 years.   https://t.co/b413NthxV8  #AfTerFibre,en,[],['http://www.xinhuanet.com/english/africa/2019-10/23/c_138494332.htm'],[],0,0,1,['afterfibre'],[],https://twitter.com/stevesong/status/1186966794126405632,False,,0,,,,,,,,[],,,,
1186966008373960706,1186966008373960706,2019-10-23 11:22:03 UTC,2019-10-23,11:22:03,0,285211941,telegeography,TeleGeography,,BBS inks deal with Tanzania’s TTCL to improve Burundi’s broadband connectivity: #telecoms  https://t.co/o1WIgiupqE,en,[],['http://bit.ly/2MYVujG'],[],0,0,1,['telecoms'],[],https://twitter.com/TeleGeography/status/1186966008373960706,False,,0,,,,,,,,[],,,,
1186917813056933890,1186917813056933890,2019-10-23 08:10:33 UTC,2019-10-23,08:10:33,0,265619453,fmsampa,Francis,,Tanzania (@TTCLCorporation ) to provide broadband Internet services to Burundi.   https://t.co/GK0ZkEI6Ad,en,"[{'screen_name': 'ttclcorporation', 'name': 'ttcl corporation', 'id': '857599886'}]",['http://www.xinhuanet.com/english/2019-10/23/c_138494332.htm'],[],0,0,0,[],[],https://twitter.com/fmsampa/status/1186917813056933890,False,,0,,,,,,,,[],,,,
1186884534106808320,1186884534106808320,2019-10-23 05:58:18 UTC,2019-10-23,05:58:18,0,21392819,mtanzania,Emmanuel Tayari,,Tanzania to provide broadband Internet services to Burundi   https://t.co/uoVYd8eU9G,en,[],['http://www.xinhuanet.com/english/2019-10/23/c_138494332.htm'],[],0,4,16,[],[],https://twitter.com/mtanzania/status/1186884534106808320,False,,0,,,,,,,,[],,,,
1186784072728625152,1186784072728625152,2019-10-22 23:19:06 UTC,2019-10-22,23:19:06,0,40173650,robinsnewswire,Global News Report,,"""#Internet News: Tanzania to provide broadband #Internet services to Burundi #News"":  https://t.co/mNsETR05Zl",en,[],['https://www.robinspost.com/news/technology-news/998086-internet-news-tanzania-to-provide-broadband-internet-services-to-burundi.html'],[],0,0,0,"['internet', 'internet', 'news']",[],https://twitter.com/robinsnewswire/status/1186784072728625152,False,,0,,,,,,,,[],,,,
1181565979207319552,1181565979207319552,2019-10-08 13:44:16 UTC,2019-10-08,13:44:16,0,23911842,vkapiyo,Victor Kapiyo,,Tanzania warns Halotel for extending optic fibre broadband services to Burundi   https://t.co/KKweEl4tOM,en,[],['https://www.thecitizen.co.tz/news/Tanzania-warns-Halotel-for-extending-optic-fibre-broadband/1840340-5302430-yamgip/index.html'],[],0,0,0,[],[],https://twitter.com/Vkapiyo/status/1181565979207319552,False,,0,,,,,,,,[],,,,
1181443796707483648,1181443796707483648,2019-10-08 05:38:45 UTC,2019-10-08,05:38:45,0,950628996328382464,kyalo150250350,"PHD CANDIDATE, MBA, BCO, CPA JOSIAH KYALO",,Tanzania warns Halotel for extending optic fibre broadband services to Burundi.#mambo  https://t.co/cXIMTzkeYp,en,[],[],['https://pbs.twimg.com/media/EGVU3KlXYAAeHbb.png'],0,0,0,['mambo'],[],https://twitter.com/kyalo150250350/status/1181443796707483648,False,,1,https://pbs.twimg.com/media/EGVU3KlXYAAeHbb.png,,,,,,,[],,,,
1181246940211814402,1181246940211814402,2019-10-07 16:36:31 UTC,2019-10-07,16:36:31,0,2238083952,mvnoblog,MVNO BLOG,,"Burundi Telecoms, Mobile and Broadband Market Analysis, Growth, Opportunities 2028  https://t.co/ciJ8OpF06p",en,[],['http://mvnoblog.com/burundi-telecoms-mobile-and-broadband-market-analysis-growth-opportunities-2028/'],[],0,0,0,[],[],https://twitter.com/mvnoblog/status/1181246940211814402,False,,0,,,,,,,,[],,,,
1181239147186376705,1181239147186376705,2019-10-07 16:05:33 UTC,2019-10-07,16:05:33,0,578353910,mlnangalama,Martha Leah Nangalama,,"via@PerilOfAfrica Tanzania warns Halotel for extending optic fibre broadband services to Burundi: The government warned Halotel Tanzania on Monday, October 07, 2019 over the telecommunication firm’s decision to extend its optic fibre broadband services…  https://t.co/Y3uHOMUIK3  https://t.co/ZOJhCKn5vT",en,[],['http://dlvr.it/RFhTfH'],['https://pbs.twimg.com/media/EGSavpmUEAAVyq8.jpg'],0,0,0,[],[],https://twitter.com/mlnangalama/status/1181239147186376705,False,,1,https://pbs.twimg.com/media/EGSavpmUEAAVyq8.jpg,,,,,,,[],,,,
1181233546930851840,1181233546930851840,2019-10-07 15:43:18 UTC,2019-10-07,15:43:18,0,407660414,thecitizentz,The Citizen Tanzania,,Tanzania warns Halotel for extending optic fibre broadband services to Burundi   https://t.co/Sp08ncxgFZ  https://t.co/wBuaOQVMoe,en,[],['http://bit.ly/2VkTLZX'],['https://pbs.twimg.com/media/EGSVpZFWkAABGJa.jpg'],0,2,6,[],[],https://twitter.com/TheCitizenTZ/status/1181233546930851840,False,,1,https://pbs.twimg.com/media/EGSVpZFWkAABGJa.jpg,,,,,,,[],,,,
1181175743755239431,1181175743755239431,2019-10-07 11:53:37 UTC,2019-10-07,11:53:37,0,44840411,einpresswirepr,EIN Presswire: Press Releases,,"Research Deliver Insight into Burundi Telecoms, Mobile and Broadband Market Forecast to 2028  https://t.co/Mz0VaPJBd8",en,[],['http://s.einnews.com/cBrkTHgr8v'],[],0,0,0,[],[],https://twitter.com/EINPresswirePR/status/1181175743755239431,False,,0,,,,,,,,[],,,,
1181168131965890560,1181168131965890560,2019-10-07 11:23:22 UTC,2019-10-07,11:23:22,0,960403142197248000,pressrelease_cc,PressRelease.cc,,"Burundi launches ICT strategy to 2028  https://t.co/LkK5pJrXVh “Burundi – Telecoms, Mobile and Broadband – Statistics and Analyses” report has been added to its...  https://t.co/i72LbpkLoN",en,[],"['http://WiseGuyReports.com', 'https://www.pressrelease.cc/2019/10/07/burundi-telecoms-mobile-and-broadband-market-analysis-growth-opportunities-2028/']",[],0,0,0,[],[],https://twitter.com/PressRelease_cc/status/1181168131965890560,False,,0,,,,,,,,[],,,,
1181168076563369984,1181168076563369984,2019-10-07 11:23:09 UTC,2019-10-07,11:23:09,0,960403142197248000,pressrelease_cc,PressRelease.cc,,"Burundi Telecoms, Mobile and Broadband Market Analysis, Growth, Opportunities 2028  https://t.co/i72LbpkLoN  https://t.co/WnUupeY9mx",en,[],['https://www.pressrelease.cc/2019/10/07/burundi-telecoms-mobile-and-broadband-market-analysis-growth-opportunities-2028/'],['https://pbs.twimg.com/media/EGRaGyxWoAIXO8o.jpg'],0,0,0,[],[],https://twitter.com/PressRelease_cc/status/1181168076563369984,False,,1,https://pbs.twimg.com/media/EGRaGyxWoAIXO8o.jpg,,,,,,,[],,,,
1171355170413961216,1171355170413961216,2019-09-10 09:30:10 UTC,2019-09-10,09:30:10,0,44840411,einpresswirepr,EIN Presswire: Press Releases,,"Burundi Telecoms, Mobile and Broadband Opportunities Market 2019 – Growth, Challenges 2028  https://t.co/7fZwi6MKNZ",en,[],['http://s.einnews.com/j7SRbS54CV'],[],0,0,0,[],[],https://twitter.com/EINPresswirePR/status/1171355170413961216,False,,0,,,,,,,,[],,,,
