id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1270408114437795840,1270408114437795840,2020-06-09 17:31:12 UTC,2020-06-09,17:31:12,0,975691068049186816,trackama,Trackama,,You should not text on your cell phone while driving because being distracted by texting is similar to driving while intoxicated.   Stay Safe  #safetytip #trackama #Burundi #ObasekisFakeCertificate #Burna  https://t.co/KN9p2y7exz,en,[],[],['https://pbs.twimg.com/media/EaFkp7XWoAEMO8Q.png'],0,0,1,"['safetytip', 'trackama', 'burundi', 'obasekisfakecertificate', 'burna']",[],https://twitter.com/trackama/status/1270408114437795840,False,,1,https://pbs.twimg.com/media/EaFkp7XWoAEMO8Q.png,,,,,,,[],,,,
1261552014749827073,1261552014749827073,2020-05-16 07:00:13 UTC,2020-05-16,07:00:13,0,903658818701328385,naimadoj,LENAIMADO JOEL,,@Safaricom_Care how's it that cell phone numbers from Austria and Burundi keeps calling me? How did they get my number????,en,[],[],[],1,0,0,[],[],https://twitter.com/Naimadoj/status/1261552014749827073,False,,0,,,,,,,,[],,,,
1227576919178301440,1227316924096360454,2020-02-12 12:55:19 UTC,2020-02-12,12:55:19,0,35783898,toughloveforx,Michael Josefowicz,,"@innov8tor3 @ddrrnt @sandyhubbard @bshavertroupEdD @Jamieprints @CathyNDavidson @steedmrspeel @iamwill No one from Somali in the Network so far..  Uganda, Burundi, Malawi and Nigeria.  Re the posters,  I'm seeing an awesome looking poster, short snippets and QR codes to read or watch videos on the cell phone.",en,[],[],[],0,2,3,[],[],https://twitter.com/toughLoveforx/status/1227576919178301440,False,,0,,,,,,,,"[{'screen_name': 'innov8tor3', 'name': 'Peter Jones', 'id': '19178894'}, {'screen_name': 'ddrrnt', 'name': 'Daniel Durrant \U0001f9e2🔥🦉', 'id': '23166597'}, {'screen_name': 'sandyhubbard', 'name': 'Sandy Hubbard 🌻 Marketing Strategist for Printers', 'id': '45002755'}, {'screen_name': 'Jamieprints', 'name': 'Jamie McLennan', 'id': '108417364'}, {'screen_name': 'CathyNDavidson', 'name': 'Cathy Davidson', 'id': '15480206'}, {'screen_name': 'steedmrspeel', 'name': 'Cindy Walas', 'id': '346661261'}, {'screen_name': 'iamwill', 'name': 'will.i.am', 'id': '49573859'}]",,,,
1130946633364062208,1130946633364062208,2019-05-21 21:21:04 UTC,2019-05-21,21:21:04,0,2494717669,kettynivyabandi,ketty nivyabandi,,"‘Several mines operate in the region, extracting coltan - a key component in cell phones and other electronic equipment - as well as tin oxide and tungsten.  Such incidents occur regularly in Burundi but local authorities are discouraged from reporting them.’",en,[],[],[],1,5,3,[],[],https://twitter.com/kettynivyabandi/status/1130946633364062208,False,https://twitter.com/AFP/status/1130178917485162496,0,,,,,,,,[],,,,
1114726958947020800,1114724979117936645,2019-04-07 03:09:52 UTC,2019-04-07,03:09:52,0,16176069,jeneba54,Jeneba54,,"@NPR @WBUR Both my cell and landline are set to Do Not Disturb so that neither phone ever rings and the robos from Azerbaijan, Burundi, Slovenia, and Spain go straight to voice mail. But why should I need to resort to that?  Can’t the phone companies simply enable us to block foreign calls?",en,[],[],[],0,0,0,[],[],https://twitter.com/Jeneba54/status/1114726958947020800,False,,0,,,,,,,,"[{'screen_name': 'NPR', 'name': 'NPR', 'id': '5392522'}, {'screen_name': 'WBUR', 'name': 'WBUR', 'id': '2996801'}]",,,,
1114056502015418368,1114045143634595840,2019-04-05 06:45:42 UTC,2019-04-05,06:45:42,0,28293476,davidwolpertza,David Wolpert,,"@dailymaverick @PFabric Amazing.Our best friends are arch terrorists and tyrants of this world. Israel has an advanced economy and invented nearly every technology we use.Presume our corrupt lot will now dispense with cell phones,computers and most medical life saving equipment or source from Burundi?",en,[],[],[],1,1,4,[],[],https://twitter.com/DavidWolpertZA/status/1114056502015418368,False,,0,,,,,,,,"[{'screen_name': 'dailymaverick', 'name': 'Daily Maverick', 'id': '71594919'}, {'screen_name': 'PFabric', 'name': 'Peter Fabricius', 'id': '222018080'}]",,,,
1111461858081472513,1111441941374341120,2019-03-29 02:55:31 UTC,2019-03-29,02:55:31,0,585117688,actuallyj,ActuallyJ,,"@WritesTruths I have had 96 calls so far this month on my cell phone.Belarus, Russia,Slovenia,Burundi,Morocco,Uganda,Senegal,Serbia and a few more.I block them and they change a digit.I shut my phone off now at night but there doesn’t seem to be a way to block incoming international calls yet.",en,[],[],[],0,0,0,[],[],https://twitter.com/ActuallyJ/status/1111461858081472513,False,,0,,,,,,,,"[{'screen_name': 'writestruths', 'name': 'Adwin Yulissa', 'id': '940511313687482368'}]",,,,
1111252207364640769,1111252207364640769,2019-03-28 13:02:26 UTC,2019-03-28,13:02:26,0,342468646,dfry416,tzedek_tzedek_tirdof,,"In the past two days, I have ignored cell phone calls from Belarus, Burundi and Slovenia. The Slovenia one is interesting. Wonder if somebody was looking for @FLOTUS and got me by accident.",en,"[{'screen_name': 'flotus', 'name': 'melania trump', 'id': '818876014390603776'}]",[],[],0,0,2,[],[],https://twitter.com/dfry416/status/1111252207364640769,False,,0,,,,,,,,[],,,,
1091068254171279361,1091067416568844289,2019-01-31 20:18:37 UTC,2019-01-31,20:18:37,0,54374425,imleftcoast,No_One_Is_Above_The_Law,,"@jilevin Hiya app does flash 'Scam' when a scammer calls you. All the cell phone calls from Lithuania and Burundi seem to get that message. During the govt shutdown, the # of scam calls went way up.",en,[],[],[],0,0,0,[],[],https://twitter.com/imleftcoast/status/1091068254171279361,False,,0,,,,,,,,"[{'screen_name': 'jilevin', 'name': 'Jeffrey Levin', 'id': '24733117'}]",,,,
1044782925705867264,1042376229981237249,2018-09-26 02:57:15 UTC,2018-09-26,02:57:15,0,30446521,iburundi,iBurundi,,"UPDATE—After revelations of a scheme to defraud &amp; sell fuel allocated to #Burundi soldiers, Burundian commanders in @amisomsomalia are retaliating against soldiers who gave out info to journalists. Soldiers’ cell phones are being confiscated. AMISOM leadership has said nothing  https://t.co/QS3GoLZXQK",en,"[{'screen_name': 'amisomsomalia', 'name': 'amisom', 'id': '123528331'}]",[],['https://pbs.twimg.com/media/Dn_QhhDU8AA_1UB.jpg'],0,3,0,['burundi'],[],https://twitter.com/iburundi/status/1044782925705867264,False,,1,https://pbs.twimg.com/media/Dn_QhhDU8AA_1UB.jpg,,,,,,,[],,,,
