id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1341898364032593921,1341898361805426690,2020-12-24 00:07:55 UTC,2020-12-24,00:07:55,0,1277154856806035456,redlionmedia2,RED LION MEDIA,,"Masiyiwa also owns just over half of private company Liquid Telecom, which provides fiber optic and satellite services to telecom firms across Africa. His other assets include stakes in mobile phone networks in Burundi and Lesotho, and investments in fintech and power...",en,[],[],[],1,0,0,[],[],https://twitter.com/REDLIONMEDIA2/status/1341898364032593921,False,,0,,,,,,,,[],,,,
1340227238252429313,1340224718138437632,2020-12-19 09:27:28 UTC,2020-12-19,09:27:28,0,1057002968728432642,moseskawooya2,Hajji Musa K,,"@SoftPowerNews @UgandaCAA Most of Ugandans have Covid-19 tests done at their workplaces and results sent on their mobile phones. Do you accept results on their handsets? The increase of infection to Ugandans is from Burundi, Kenya, Tanzania, DRC, and South Sudan. Target those borders",en,[],[],[],0,0,0,[],[],https://twitter.com/MosesKawooya2/status/1340227238252429313,False,,0,,,,,,,,"[{'screen_name': 'SoftPowerNews', 'name': 'SoftPower News', 'id': '3784907241'}, {'screen_name': 'UgandaCAA', 'name': 'Uganda CAA', 'id': '2885386137'}]",,,,
1337729393234472962,1337729393234472962,2020-12-12 12:01:55 UTC,2020-12-12,12:01:55,0,2457263700,imitwe,Stockman 🇧🇮,,Voilà. Slowly #Burundi is getting there. You can now make medical reservations on mobile phones😍. Businesses and banks are embracing versatility...  https://t.co/1nQYyPKR4v,en,[],[],"['https://pbs.twimg.com/media/EpCRB2pXMAYf0MJ.jpg', 'https://pbs.twimg.com/media/EpCRahvXEAEI4dp.jpg', 'https://pbs.twimg.com/media/EpCRPgfXYAAp-iZ.jpg', 'https://pbs.twimg.com/media/EpCRpWqXMAAwzAI.jpg']",2,17,89,['burundi'],[],https://twitter.com/iMitwe/status/1337729393234472962,False,https://twitter.com/iMitwe/status/1337135721602297860,1,https://pbs.twimg.com/media/EpCRB2pXMAYf0MJ.jpg,,,,,,,[],,,,
1279382670456188928,1279348094459539463,2020-07-04 11:52:53 UTC,2020-07-04,11:52:53,0,541914020,mimireeds,🕯 Mitchell Mhlanga 🇿🇼,,"@HabaneNzwakele His other assets include stakes in mobile phone networks, beverages and media ventures in Burundi, Botswana, CAR, South Africa, UK and Lesotho, and investments in fintech, water and power distribution firms in Africa. Now ranked 8th richest man in Africa and 900th in the world.",en,[],[],[],1,0,0,[],[],https://twitter.com/MimiReeds/status/1279382670456188928,False,,0,,,,,,,,"[{'screen_name': 'HabaneNzwakele', 'name': 'Gukurahundi Equalizer', 'id': '294001660'}]",,,,
1277472336753635328,1277472336753635328,2020-06-29 05:21:54 UTC,2020-06-29,05:21:54,0,3294116661,worldmeritbi,World Merit Burundi,,Always @CarteDorian in rural areas using mobile phone. @UNICEF_Burundi  https://t.co/s9UYqm2AAF,en,"[{'screen_name': 'cartedorian', 'name': 'dorian', 'id': '2755003365'}, {'screen_name': 'unicef_burundi', 'name': 'unicef burundi', 'id': '1242803435864457216'}]",[],"['https://pbs.twimg.com/media/Ebp-SJDWsAQRe2p.jpg', 'https://pbs.twimg.com/media/Ebp-SJZWoAEHmQ0.jpg', 'https://pbs.twimg.com/media/Ebp-SJsXYAEipok.jpg', 'https://pbs.twimg.com/media/Ebp-SJ3WAAAo0ze.jpg']",0,0,1,[],[],https://twitter.com/WorldMeritBI/status/1277472336753635328,False,,1,https://pbs.twimg.com/media/Ebp-SJDWsAQRe2p.jpg,,,,,,,[],,,,
1276785691460956161,1276785679851155456,2020-06-27 07:53:25 UTC,2020-06-27,07:53:25,0,917983451671924737,kkr_arvind,arvind sharma,,"methodological approaches. In an effort to better understand how mobile phones empower women, authors also conducted an individual level analysis on 100,000 women from Angola, Burundi,Ethiopia,Malawi, Tanzania,Uganda,and Zimbabwe between 2015 and 2017. Though these sub- Saharan",en,[],[],[],1,0,0,[],[],https://twitter.com/kkr_arvind/status/1276785691460956161,False,,0,,,,,,,,[],,,,
1263124101742440448,1263124101742440448,2020-05-20 15:07:08 UTC,2020-05-20,15:07:08,0,46601072,ngendapatrick,Ngendakumana J. Patrick,,"Yes, there is internet in Burundi and far cheaper than in Uganda where you pay tax for using a mobile phone.",en,[],[],[],2,3,46,[],[],https://twitter.com/ngendapatrick/status/1263124101742440448,False,https://twitter.com/LaikaMukasa/status/1263005583550099457,0,,,,,,,,[],,,,
1262327194103287808,1262327194103287808,2020-05-18 10:20:30 UTC,2020-05-18,10:20:30,0,2148553704,drumchronicles,Evelyn Tremble,,#Burundi Free and totally unfair Elections 2020: “Local and foreign observers are strictly prohibited from using mobile phones and taking photos inside polling stations on polling day”  https://t.co/HQNTlwsbYS,en,[],[],['https://pbs.twimg.com/media/EYSu9lMXsAAg-xP.jpg'],0,1,1,['burundi'],[],https://twitter.com/DrumChronicles/status/1262327194103287808,False,,1,https://pbs.twimg.com/media/EYSu9lMXsAAg-xP.jpg,,,,,,,[],,,,
1238360796645617670,1238360796645617670,2020-03-13 07:06:36 UTC,2020-03-13,07:06:36,0,2214134386,franzquotes,Franz Derrick D. フランツ,,It takes 3min: If you have ever had /or have a mobile phone subscribed in  #Burundi I would much appreciate if you help me fill this short survey.  https://t.co/3cpqea8e7b,en,[],['https://forms.gle/Bm9Zwhbqudx4S6556'],[],0,0,0,['burundi'],[],https://twitter.com/franzquotes/status/1238360796645617670,False,,0,,,,,,,,[],,,,
1234617103916900353,1234617103916900353,2020-03-02 23:10:30 UTC,2020-03-02,23:10:30,0,1144599392873324544,swasloo,Sammie Wasloo,,"Sign up for Shutterstock, start uploading your mobile phone/camera photos. You WILL start making money on the side!  https://t.co/RTWAmeE8wn #photography #photographer #money #makemoney #jobs #moneymaking #Algeria #Angola #Benin #Botswana #Burundi #Cameroon #Chad #Comoros #Congo",en,[],['http://submit.shutterstock.com?rid=3116378'],[],0,0,1,"['photography', 'photographer', 'money', 'makemoney', 'jobs', 'moneymaking', 'algeria', 'angola', 'benin', 'botswana', 'burundi', 'cameroon', 'chad', 'comoros', 'congo']",[],https://twitter.com/SWasloo/status/1234617103916900353,False,,0,,,,,,,,[],,,,
1223288389555904512,1223288389555904512,2020-01-31 16:54:14 UTC,2020-01-31,16:54:14,0,876578482893008896,internetlife100,🔰David🇵🇹🌍🔰,,Burundi 🇧🇮 jan 2020  👨‍👨‍👧‍👦 Population: 11.71 Million  🔢  6.94 Million mobile phone connections (%) 🌐 1.15 Million Internet users (9.9%) 👥  530.0 Thousand Active Social media Users (4.5%)  #Digital #Internet #socialmedia #Burundi #yUburundi  https://t.co/Qm2zE9TBN4,en,[],[],['https://pbs.twimg.com/media/EPn-TavWsAAk6Mn.jpg'],0,0,0,"['digital', 'internet', 'socialmedia', 'burundi', 'yuburundi']",[],https://twitter.com/Internetlife100/status/1223288389555904512,False,,1,https://pbs.twimg.com/media/EPn-TavWsAAk6Mn.jpg,,,,,,,[],,,,
1219553250778722304,1219553250778722304,2020-01-21 09:32:07 UTC,2020-01-21,09:32:07,0,3383666795,regionweek,RegionWeek,,"#TECH- 🔴 The first (mobile phones, computers, etc.) assembly plant in #Gitega, #Burundi.  https://t.co/7aKsuLNaGl",en,[],[],['https://pbs.twimg.com/media/EOy42z7WsAE3RWh.jpg'],0,0,1,"['tech', 'gitega', 'burundi']",[],https://twitter.com/RegionWeek/status/1219553250778722304,False,,1,https://pbs.twimg.com/media/EOy42z7WsAE3RWh.jpg,,,,,,,[],,,,
1200034232518746112,1200034232518746112,2019-11-28 12:50:31 UTC,2019-11-28,12:50:31,0,1130794218094551045,misscareerafric,Miss Career Africa,,"she wants to see her country develop in technological and medical fields. ONLINE MEDICAL CONSULTATION IN BURUNDI will help people from all class get the right consultation|data for good health, doctor advice all by using a mobile phone.Kindly vote for her.  https://t.co/pQloiONNvs  https://t.co/8XjETXOdxN",en,[],['https://misscareerafrica.org/candidate-page/46'],['https://pbs.twimg.com/media/EKdgwnPWoAE26RI.jpg'],0,0,0,[],[],https://twitter.com/Misscareerafric/status/1200034232518746112,False,,1,https://pbs.twimg.com/media/EKdgwnPWoAE26RI.jpg,,,,,,,[],,,,
1200025349020631040,1200025349020631040,2019-11-28 12:15:13 UTC,2019-11-28,12:15:13,0,236770150,poandpo,POST Online Media,,"Text only, lite version of POST Online Media for slow connections, rural areas and older mobile phones, tablets and computers:  https://t.co/XvD9uFjomD #Algeria #Angola #Benin #Botswana #BurkinaFaso #Burundi #Cabo Verde #Cameroon #CentralAfricanRepublic #Chad #Comoros #Congo",en,[],['https://lite.poandpo.com'],[],0,0,0,"['algeria', 'angola', 'benin', 'botswana', 'burkinafaso', 'burundi', 'cabo', 'cameroon', 'centralafricanrepublic', 'chad', 'comoros', 'congo']",[],https://twitter.com/poandpo/status/1200025349020631040,False,,0,,,,,,,,[],,,,
1195982041587863553,1195982041587863553,2019-11-17 08:28:33 UTC,2019-11-17,08:28:33,0,236770150,poandpo,POST Online Media,,"Text only, lite version of POST Online Media for slow connections, rural areas and older mobile phones, tablets and computers:  https://t.co/XvD9uFjomD #news #Algeria #Angola #Benin #Botswana #BurkinaFaso #Burundi #CaboVerde #Cameroon #CentralAfricanRepublic #Chad #Comoros #Congo",en,[],['https://lite.poandpo.com'],[],0,0,0,"['news', 'algeria', 'angola', 'benin', 'botswana', 'burkinafaso', 'burundi', 'caboverde', 'cameroon', 'centralafricanrepublic', 'chad', 'comoros', 'congo']",[],https://twitter.com/poandpo/status/1195982041587863553,False,,0,,,,,,,,[],,,,
