id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1341792497866076161,1341792497866076161,2020-12-23 17:07:15 UTC,2020-12-23,17:07:15,0,2975240657,stephen_etubi,Piksy_pikes,,"This is the outlay of our railway system,  for those who keep asking, the map below shows clearly the route plan for inter connectivity across the country .The coastal line terminates in Douala Cameroon, this will be a huge opportunity considering the AFCFTA  https://t.co/cl1RydwLwk",en,[],[],"['https://pbs.twimg.com/media/Ep8BKPlW4AEn3_6.jpg', 'https://pbs.twimg.com/media/Ep8BKjVXMAAT8rn.jpg']",1,7,11,[],[],https://twitter.com/stephen_etubi/status/1341792497866076161,False,,1,https://pbs.twimg.com/media/Ep8BKPlW4AEn3_6.jpg,,,,,,,[],,,,
1339235577019969537,1339235577019969537,2020-12-16 15:46:58 UTC,2020-12-16,15:46:58,0,227342074,thegni,Global Network Initiative,,"To conclude the GNI-@Internews Fellows Blog Series, @AfroLeadership introduces a forthcoming research study on Internet connectivity in #Cameroon in the #COVID context:  https://t.co/cWfbkWtSpf",en,"[{'screen_name': 'internews', 'name': 'internews', 'id': '17233335'}, {'screen_name': 'afroleadership', 'name': 'afro leadership mag', 'id': '3021754689'}]",['https://bit.ly/37lAzCV'],[],0,3,10,"['cameroon', 'covid']",[],https://twitter.com/theGNI/status/1339235577019969537,False,,0,,,,,,,,[],,,,
1333374272140500993,1333374272140500993,2020-11-30 11:36:14 UTC,2020-11-30,11:36:14,0,577795812,marijuananame,#Trending #DOMAINNAMES,,#CeragonNetworks wins XOF 1.3 bln Cameroonian contract to supply #railway #wireless connectivity - #africa #Telecompaper #Cameroon $crnt #crnt #5g #Israel  #mobile #stocks   https://t.co/6WL4oo1M3m,en,[],['https://www.telecompaper.com/news/ceragon-networks-wins-xof-13-bln-cameroonian-contract-to-supply-railway-wireless-connectivity--1363737'],[],0,0,0,"['ceragonnetworks', 'railway', 'wireless', 'africa', 'telecompaper', 'cameroon', 'crnt', '5g', 'israel', 'mobile', 'stocks']",['crnt'],https://twitter.com/MarijuanaName/status/1333374272140500993,False,,0,,,,,,,,[],,,,
1322483218722029568,1322483218722029568,2020-10-31 10:19:04 UTC,2020-10-31,10:19:04,0,882556924201447424,tana16373519,joejohnson,,They have been obstructed to sabotage the Online conference on Southern Cameroon breakdown in internet connectivity.,en,[],[],[],0,0,0,[],[],https://twitter.com/Tana16373519/status/1322483218722029568,False,https://twitter.com/ReginaSondoM/status/1322288537962729473,0,,,,,,,,[],,,,
1320265159013785600,1320222312004788224,2020-10-25 07:25:17 UTC,2020-10-25,07:25:17,0,1092383929087287301,tkinspires,Kim,,@UN_Women @WorldBank The women in Southern Cameroon are not bothered abt digital connectivity. They just want to be able to see the sun rise tomorrow. What has @UN_Women done to solve the problem these women face?,en,"[{'screen_name': 'un_women', 'name': 'un women', 'id': '17137628'}]",[],[],1,1,23,[],[],https://twitter.com/tkinspires/status/1320265159013785600,False,,0,,,,,,,,"[{'screen_name': 'UN_Women', 'name': 'UN Women', 'id': '17137628'}, {'screen_name': 'WorldBank', 'name': 'World Bank', 'id': '27860681'}]",,,,
1308018751095345152,1308018751095345152,2020-09-21 12:22:26 UTC,2020-09-21,12:22:26,0,884179489,investcameroun,Investir au Cameroun,,Cameroon: Germany disburses XAF1.96 bln to boost decentralization and connectivity in rural communities  https://t.co/LUCNSW6SBu  https://t.co/6SHlbZborO,en,[],['https://www.businessincameroon.com/cooperation/2109-10833-cameroon-germany-disburses-xaf1-96-bln-to-boost-decentralization-and-connectivity-in-rural-communities'],['https://pbs.twimg.com/media/EicEHuGXgAAYvDt.jpg'],0,1,1,[],[],https://twitter.com/InvestCameroun/status/1308018751095345152,False,,1,https://pbs.twimg.com/media/EicEHuGXgAAYvDt.jpg,,,,,,,[],,,,
1308009339529998336,1308009339529998336,2020-09-21 11:45:02 UTC,2020-09-21,11:45:02,0,108870336,237online,Cameroun,,Cameroon: Germany disburses XAF1.96 bln to boost decentralization and connectivity in rural communities: The German Embassy in Cameroon informs that the Federal Government of Germany has disbursed €3 million (XAF1.96 billion) to boost its commitment to…  https://t.co/1LlTXjvfwV  https://t.co/9KOxO1Bxsn,en,[],['https://www.businessincameroon.com/cooperation/2109-10833-cameroon-germany-disburses-xaf1-96-bln-to-boost-decentralization-and-connectivity-in-rural-communities?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/Eib7kB6U0AADP4q.jpg'],0,0,2,[],[],https://twitter.com/237online/status/1308009339529998336,False,,1,https://pbs.twimg.com/media/Eib7kB6U0AADP4q.jpg,,,,,,,[],,,,
1307673397896384512,1307673397896384512,2020-09-20 13:30:08 UTC,2020-09-20,13:30:08,0,624134279,reginasondom,Regina Sondo 🎅🏾,,Internet connectivity checker... @netblocks is collecting evidence on internet/social media disruptions in Cameroon.  https://t.co/480anEj9BY,en,"[{'screen_name': 'netblocks', 'name': 'netblocks.org', 'id': '815297463695327234'}]",['https://api.webprobe.org/'],[],0,1,3,[],[],https://twitter.com/ReginaSondoM/status/1307673397896384512,False,,0,,,,,,,,[],,,,
1306666516671336449,1306666516671336449,2020-09-17 18:49:08 UTC,2020-09-17,18:49:08,0,1264639800641978370,gefonaf,Gefona Digital Fondation,,Connectivity can make a difference for some of the world's most marginalized #Children by helping them realize their potential and break the intergenerational cycle of poverty. @unicefcameroon @EduCannotWait   #EducationForAll #Cameroon #Gefona  https://t.co/dBXkxmC7tt,en,"[{'screen_name': 'unicefcameroon', 'name': 'unicef cameroon', 'id': '3289970679'}, {'screen_name': 'educannotwait', 'name': 'education cannot wait', 'id': '917510713131888642'}]",[],['https://pbs.twimg.com/media/EiI14oLXsAALjFL.jpg'],0,2,2,"['children', 'educationforall', 'cameroon', 'gefona']",[],https://twitter.com/GefonaF/status/1306666516671336449,False,,1,https://pbs.twimg.com/media/EiI14oLXsAALjFL.jpg,,,,,,,[],,,,
1304336051461332994,1304336051461332994,2020-09-11 08:28:42 UTC,2020-09-11,08:28:42,0,214813724,afridigital,Extensia,,Cameroon: Camtel to roll out US$1.9-million connectivity project - Extensia-ltd  https://t.co/8D7gi5YMQE via @getsocial_io,en,"[{'screen_name': 'getsocial_io', 'name': 'getsocial', 'id': '2152651916'}]",['https://extensia-ltd.com/2020/09/11/cameroon-camtel-to-roll-out-us1-9-million-connectivity-project/'],[],0,0,0,[],[],https://twitter.com/Afridigital/status/1304336051461332994,False,,0,,,,,,,,[],,,,
