id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1335524167958061057,1335502418558259203,2020-12-06 09:59:09 UTC,2020-12-06,09:59:09,0,1009101940188418048,kennyb00801043,Jenyk,,@mustangalopa @MimiMefoInfo @mimimefoinfo amba FAKE news again? Which officials decry militarization of polling stations? U live in #Germany &amp; u report hearing gunshots in Mbveh #Cameroon. You must have satellite ears to hear the guns shots iDieet. Go to journalism school &amp; report facts as u get them akwara,en,[],[],[],1,0,0,"['germany', 'cameroon']",[],https://twitter.com/kennyb00801043/status/1335524167958061057,False,,0,,,,,,,,"[{'screen_name': 'mustangalopa', 'name': 'Richard Ndoumbe', 'id': '91973166'}, {'screen_name': 'MimiMefoInfo', 'name': 'Mimi Mefo Info', 'id': '798528058999312389'}]",,,,
1334786500026912768,1334786500026912768,2020-12-04 09:07:55 UTC,2020-12-04,09:07:55,0,1046665088827117568,bloosatofficiel,BLOOSAT,,"Choisissez @BloosatOfficiel  et profitez d'une connexion rapide et stable où que vous soyez, surfez comme jamais auparavant!  ☎️ 695 49 69 29 📧 info@bloosat.com  https://t.co/1R1uLIGxx2  #InternetServiceProvider #Satellite #broadband  #SatelliteBroadband #VSAT #Cameroon #Africa  https://t.co/hmouSWdORW",fr,"[{'screen_name': 'bloosatofficiel', 'name': 'bloosat', 'id': '1046665088827117568'}]",['http://www.bloosat.com'],['https://pbs.twimg.com/media/EoYdFOmXUAIvOeF.jpg'],0,0,0,"['internetserviceprovider', 'satellite', 'broadband', 'satellitebroadband', 'vsat', 'cameroon', 'africa']",[],https://twitter.com/BloosatOfficiel/status/1334786500026912768,False,,1,https://pbs.twimg.com/media/EoYdFOmXUAIvOeF.jpg,,,,,,,[],,,,
1333805500522172417,1333805500522172417,2020-12-01 16:09:46 UTC,2020-12-01,16:09:46,0,753305796784582657,mbeatowe,HistoireDuCameroun🇨🇲,,"Bruno Zuo an entrepreneur in #Cameroon has created a car security solution that enables people to track their vehicles and immobilise them if they are stolen using a mobile app, mobile internet and satellite communications.  https://t.co/9RXGv8Bo1h",en,[],['https://www.bbc.com/news/av/business-55138291'],[],0,4,13,['cameroon'],[],https://twitter.com/mbeatowe/status/1333805500522172417,False,,0,,,,,,,,[],,,,
1333731835990450176,1333731835990450176,2020-12-01 11:17:03 UTC,2020-12-01,11:17:03,0,871136305823875072,ainewscurrents,AI,,"Using tech to prevent car theft in Cameroon -   https://t.co/f0nzWuaqWb  An entrepreneur in Cameroon has created a car security solution that enables people to track their vehicles and immobilise them if they are stolen using a mobile app, mobile internet and satellite commu...  https://t.co/ov6wamKN0H",en,[],['https://theengineeringofconsciousexperience.com/using-tech-to-prevent-car-theft-in-cameroon/'],['https://pbs.twimg.com/tweet_video_thumb/EoJeCWvXEAAGCtn.jpg'],0,0,0,[],[],https://twitter.com/AiNewsCurrents/status/1333731835990450176,False,,1,https://pbs.twimg.com/tweet_video_thumb/EoJeCWvXEAAGCtn.jpg,,,,,,,[],,,,
1333701028865331200,1333701028865331200,2020-12-01 09:14:38 UTC,2020-12-01,09:14:38,0,2785886286,rivmarkm,Rivmark,,Using tech to prevent car theft in Cameroon A Cameroon startup is using mobile and satellite communications to track down stolen cars.  from BBC News - Technology  https://t.co/HC92W3nX0o  https://t.co/BN2ep04Dji,en,[],"['https://ift.tt/39wtscb', 'https://ift.tt/3fVt2xb']",[],0,0,0,[],[],https://twitter.com/RivmarkM/status/1333701028865331200,False,,0,,,,,,,,[],,,,
1333680892389298177,1333680892389298177,2020-12-01 07:54:37 UTC,2020-12-01,07:54:37,0,974625687536533504,bumfferoffers,photocutting88@gmail.com,,I've just posted a new blog: Using tech to prevent car theft in Cameroon  https://t.co/ER1HqCewTN A Cameroon startup is using mobile and satellite communications to track down stolen cars.  from BBC News - Technology  https://t.co/mNDtvb8Fpx  https://t.co/9Bcne1X6R3 BBC News - T…,en,[],"['https://ift.tt/3qaHSVz', 'https://ift.tt/39wtscb', 'https://ift.tt/eA8V8J']",[],0,1,0,[],[],https://twitter.com/bumfferoffers/status/1333680892389298177,False,,0,,,,,,,,[],,,,
1333658384302796802,1333658384302796802,2020-12-01 06:25:11 UTC,2020-12-01,06:25:11,0,2392586528,localitsupport,#localitsupport,,#TechnologyNews: A Cameroon startup is using mobile and satellite communications to track down stolen cars.,en,[],[],[],0,0,0,['technologynews'],[],https://twitter.com/localitsupport/status/1333658384302796802,False,,0,,,,,,,,[],,,,
1333445566974537730,1333445566974537730,2020-11-30 16:19:32 UTC,2020-11-30,16:19:32,0,1139203855189774336,cape_cameroon,CAPE CAMEROON,,"How Satellite Technology is Supporting Learning in Africa, Despite COVID-19   https://t.co/qL6rA9rbko via @spaceinafrica1  #africatech #African_startups #africatech #panafrican #madeinafrica #cape_cameroun #letsbuild_together #jobs #Remotelearning #Satellitetechnology #Space4good",en,"[{'screen_name': 'spaceinafrica1', 'name': 'space in africa', 'id': '968877914195398656'}]",['https://africanews.space/how-satellite-technology-is-supporting-learning-in-africa-despite-covid-19/'],[],0,2,1,"['africatech', 'african_startups', 'africatech', 'panafrican', 'madeinafrica', 'cape_cameroun', 'letsbuild_together', 'jobs', 'remotelearning', 'satellitetechnology', 'space4good']",[],https://twitter.com/Cape_Cameroon/status/1333445566974537730,False,,0,,,,,,,,[],,,,
1333320466984005635,1333320466984005635,2020-11-30 08:02:25 UTC,2020-11-30,08:02:25,0,1046665088827117568,bloosatofficiel,BLOOSAT,,Obtenez une connexion fiable et à très haut débit avec nos solutions de connectivité. Trouvez le meilleur plan pour vous!  ☎️ 695 49 69 29 📧 info@bloosat.com  https://t.co/1R1uLIGxx2 #InternetServiceProvider #Satellite #broadband  #VSAT #Cameroon #Africa  https://t.co/kj8nhLmd5X,fr,[],['http://www.bloosat.com'],['https://pbs.twimg.com/media/EoDn5jdXcAMwpMR.jpg'],0,0,0,"['internetserviceprovider', 'satellite', 'broadband', 'vsat', 'cameroon', 'africa']",[],https://twitter.com/BloosatOfficiel/status/1333320466984005635,False,,1,https://pbs.twimg.com/media/EoDn5jdXcAMwpMR.jpg,,,,,,,[],,,,
1332991227508232197,1332991227508232197,2020-11-29 10:14:09 UTC,2020-11-29,10:14:09,0,1020724686341230597,amakhosi4live,Amakhosi4LIVE,,“ The game will not be shown on South African television due to the unavailability of the satellite feed from Cameroon.” - Kaizer Chiefs official website  Footy Twitter streamers... post your links aaaaand go!!! ⬇️📺 #CAFChampionsLeague #Amakhosi4Life #CAFCL,en,[],[],[],4,2,17,"['cafchampionsleague', 'amakhosi4life', 'cafcl']",[],https://twitter.com/amakhosi4live/status/1332991227508232197,False,,0,,,,,,,,[],,,,
1330792257818144768,1330606233808736258,2020-11-23 08:36:13 UTC,2020-11-23,08:36:13,0,2927069752,abega_moussa,ABEGA MOUSSA,,@santini2007 @PR_Paul_BIYA @HonneurFidelite True. But remember Cameroon started the war against Boko Haram alone before the international force got in two years after. The President of Chad lauded the efforts of our army at the time. We can also remember that the USA denied the cameroon govt access to satellite images,en,[],[],[],1,0,1,[],[],https://twitter.com/abega_moussa/status/1330792257818144768,False,,0,,,,,,,,"[{'screen_name': 'santini2007', 'name': 'Emmanuel A Ayuk', 'id': '200495110'}, {'screen_name': 'PR_Paul_BIYA', 'name': 'President Paul BIYA', 'id': '301026859'}, {'screen_name': 'HonneurFidelite', 'name': 'Honneur et Fidélité - Armée Camerounaise', 'id': '1021695905186160640'}]",,,,
1329752410265358337,1329752410265358337,2020-11-20 11:44:14 UTC,2020-11-20,11:44:14,0,1327183971860492289,fedevlaw1,FEDEVLAW,,"""Satellite images from Betare Oya show how semi industrialized mining is devastating the environment causing violations of human rights including rights to food, healthy environment, water""@BennyNgalim #Greeningthejudiciary #Cameroon #climatejustice #EnvironmentalJustice @ELAWUS",en,"[{'screen_name': 'bennyngalim', 'name': 'bernard ngalim', 'id': '369560129'}, {'screen_name': 'elawus', 'name': 'elaw', 'id': '66430821'}]",[],[],0,1,2,"['greeningthejudiciary', 'cameroon', 'climatejustice', 'environmentaljustice']",[],https://twitter.com/FEDEVLAW1/status/1329752410265358337,False,,0,,,,,,,,[],,,,
1327996303427690498,1327996303427690498,2020-11-15 15:26:06 UTC,2020-11-15,15:26:06,0,853907356710817792,_africa24,African News 24/7,,"#Cameroon’s secret torture chambers: Using dozens of testimonies, satellite imagery, photographic &amp; video evidence, @amnesty uncovered proof of over a hundred instances of detention &amp; torture between 2013 &amp; 2017, at over 20 different sites across the c'try  https://t.co/vcLEWiUVUc",en,"[{'screen_name': 'amnesty', 'name': 'amnesty international', 'id': '18213483'}]",['https://www.amnesty.org.uk/cameroons-secret-torture-chambers'],[],0,0,1,['cameroon'],[],https://twitter.com/_Africa24/status/1327996303427690498,False,,0,,,,,,,,[],,,,
1327994483334651908,1327994483334651908,2020-11-15 15:18:52 UTC,2020-11-15,15:18:52,0,42188336,kathleenndongmo,Kathleen Ndongmo,,"Using dozens of testimonies, satellite imagery, photographic &amp; video evidence, @amnesty has uncovered proof of over a hundred instances of detention &amp; torture between 2013 &amp; 2017, at over 20 different sites across #Cameroon.  Government is the problem.   https://t.co/k0r2LnIw3H",en,"[{'screen_name': 'amnesty', 'name': 'amnesty international', 'id': '18213483'}]",['https://www.amnesty.org.uk/cameroons-secret-torture-chambers'],[],0,28,35,['cameroon'],[],https://twitter.com/KathleenNdongmo/status/1327994483334651908,False,,0,,,,,,,,[],,,,
1325810529810731015,1325810529810731015,2020-11-09 14:40:37 UTC,2020-11-09,14:40:37,0,1288124643723812873,brigetnanje,Briget Nanje,,@hrw where are your satellite images of the kumba massacre by your amba terrorists in #Cameroon? @ilariallegro @LewisMudge @KooyJan @USEmbYaounde @AsstSecStateAF @MathieuOlivier @France24_fr @UN_Cameroon @RefugeesCmr @unicefcameroon @CohenOnAfrica @RFIAfrique @AmnestyWARO @hrw_fr,en,"[{'screen_name': 'ilariallegro', 'name': 'ilaria allegrozzi', 'id': '388768139'}, {'screen_name': 'lewismudge', 'name': 'lewis mudge', 'id': '2372582526'}, {'screen_name': 'kooyjan', 'name': 'jan kooy', 'id': '376920145'}, {'screen_name': 'usembyaounde', 'name': 'u.s. embassy yaounde', 'id': '1299489810'}, {'screen_name': 'asstsecstateaf', 'name': 'tibor nagy', 'id': '238197721'}, {'screen_name': 'mathieuolivier', 'name': 'mathieu olivier', 'id': '30214368'}, {'screen_name': 'france24_fr', 'name': 'france 24 français', 'id': '25048816'}, {'screen_name': 'un_cameroon', 'name': 'un_cameroon', 'id': '1323748465'}, {'screen_name': 'refugeescmr', 'name': 'unhcr cameroon', 'id': '707972480061870080'}, {'screen_name': 'unicefcameroon', 'name': 'unicef cameroon', 'id': '3289970679'}, {'screen_name': 'cohenonafrica', 'name': 'herman j. cohen', 'id': '3313922734'}, {'screen_name': 'rfiafrique', 'name': 'rfi afrique', 'id': '1070877486'}, {'screen_name': 'amnestywaro', 'name': 'amnesty west & central africa', 'id': '3121865392'}, {'screen_name': 'hrw_fr', 'name': 'hrw en français', 'id': '43324388'}]",[],[],0,0,0,['cameroon'],[],https://twitter.com/BrigetNanje/status/1325810529810731015,False,,0,,,,,,,,[],,,,
1323992211898486785,1323992211898486785,2020-11-04 14:15:16 UTC,2020-11-04,14:15:16,0,44310665,city_press,City Press,,Football Fever | Cameroon striker Bienvenu Eva Nga handed the DStv Premiership its maiden hat-trick since the broadcast satellite service came on board as the principal sponsor of the domestic premier division two months ago.   https://t.co/MlENmXszrk  https://t.co/Ujjj7d4M3H,en,[],['http://ow.ly/Lz1w50Cbg1t'],['https://pbs.twimg.com/media/El_D5pfXUAENIfI.jpg'],1,0,11,[],[],https://twitter.com/City_Press/status/1323992211898486785,False,,1,https://pbs.twimg.com/media/El_D5pfXUAENIfI.jpg,,,,,,,[],,,,
1323388399487721472,1323386287550685185,2020-11-02 22:15:56 UTC,2020-11-02,22:15:56,0,578353910,mlnangalama,Martha Leah Nangalama,,"In 2016, I built something in case he blocked everything but didn't get to test because the Gringos (read America) told him not to do it. However, Cameroon's dictator Paul Biya did all those things to cut off the Anglophone region. We then relied on satellite phones. Damn!!",en,[],[],[],0,0,0,[],[],https://twitter.com/mlnangalama/status/1323388399487721472,False,,0,,,,,,,,[],,,,
1322753049111097344,1318822573698854912,2020-11-01 04:11:17 UTC,2020-11-01,04:11:17,0,1314422343729463296,sirpeeworld,Nigeria learders are like outdated Nokia(ENDSARS#),,@Yhormite01 @Tejumola__ A particular killing happened in Cameroon two years ago and it was traced to be authentic with satellite imagery. Click and watch it and make more google search about it.  https://t.co/XLo9ztUkkL,en,[],['https://www.bbc.com/news/av/world-africa-45599973'],[],0,0,0,[],[],https://twitter.com/sirpeeworld/status/1322753049111097344,False,,0,,,,,,,,"[{'screen_name': 'Yhormite01', 'name': 'King 👑 Abayomi 🇳🇬 #EndSARS', 'id': '773624407025680384'}, {'screen_name': 'Tejumola__', 'name': 'Noor✨', 'id': '538316764'}]",,,,
1321947872720523264,1321947872720523264,2020-10-29 22:51:48 UTC,2020-10-29,22:51:48,0,1122932961765150721,maxtweets6,maxtweets,,True observations bee cameroon tall satellite sequence hotel.,en,[],[],[],0,0,0,[],[],https://twitter.com/maxtweets6/status/1321947872720523264,False,,0,,,,,,,,[],,,,
