id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1338595522723065857,1338595522723065857,2020-12-14 21:23:37 UTC,2020-12-14,21:23:37,0,29289768,olivetnazarene,Olivet Nazarene,,"Our students are amazing! Check out this Olivet The Magazine article about one standout student, senior multimedia communication major Shemara Fontes, who moved to the U.S. from Cape Verde for college.  https://t.co/d4Wqvd7m9x #olivetnazareneuniversity #lifeatolivet  https://t.co/kxllcepwsv",en,[],['http://ow.ly/4nn850CLiet'],['https://pbs.twimg.com/media/EpOlhzDW8AIdQHr.jpg'],0,0,2,"['olivetnazareneuniversity', 'lifeatolivet']",[],https://twitter.com/olivetnazarene/status/1338595522723065857,False,,1,https://pbs.twimg.com/media/EpOlhzDW8AIdQHr.jpg,,,,,,,[],,,,
1315310452549746688,1315310452549746688,2020-10-11 15:17:03 UTC,2020-10-11,15:17:03,0,1275849380306747396,lyndonroberts20,Lyndon Roberts,,@TUIUK today is the last day we can amend our holiday. Cape Verde currently closed. Hotel closed. Due to travel on 19 Oct. Your website has nothing and no communication from you. Can we amend to something of lesser value? Will you refund difference?,en,[],[],[],3,1,3,[],[],https://twitter.com/LyndonRoberts20/status/1315310452549746688,False,,0,,,,,,,,[],,,,
1283446376643342336,1283446376643342336,2020-07-15 17:00:36 UTC,2020-07-15,17:00:36,0,2991683630,kaletajobs,Kaleta,,"Chargé de Communication PRAIA, CAPE VERDE -  https://t.co/fjQvQpaPfL  https://t.co/ezf9qx3NJc",fr,[],['https://kaleta.co/job/charge-de-communication-praia-cape-verde/Kaleta'],['https://pbs.twimg.com/media/Ec-3rYnX0AIV83f.png'],0,0,0,[],[],https://twitter.com/kaletajobs/status/1283446376643342336,False,,1,https://pbs.twimg.com/media/Ec-3rYnX0AIV83f.png,,,,,,,[],,,,
1275534156496277505,1275534156496277505,2020-06-23 21:00:15 UTC,2020-06-23,21:00:15,0,175410972,everyhomecanada,EHC Canada,,CAPE VERDE Five hundred people attended a Facebook live meeting hosted by EHC workers in Cape Verde. Please pray for people who are reached with the Gospel message through online communication. May they be receptive to the love of God in Christ. #everyheart #everyhome  https://t.co/QcxTrvdgjY,en,[],[],['https://pbs.twimg.com/media/EbObjj6WkAAdmp-.jpg'],0,0,0,"['everyheart', 'everyhome']",[],https://twitter.com/EveryHomeCanada/status/1275534156496277505,False,,1,https://pbs.twimg.com/media/EbObjj6WkAAdmp-.jpg,,,,,,,[],,,,
1272517994057326592,1272517994057326592,2020-06-15 13:15:06 UTC,2020-06-15,13:15:06,0,51816066,modernghanaweb,Modern Ghana,,"WACSI Strengthens The Communication Skills Of CSOs In Côte d'Ivoire, Cape Verde During COVID-19  https://t.co/kMWzLtokEV",fr,[],['https://www.modernghana.com/news/1009303/wacsi-strengthens-the-communication-skills-of-csos.html'],[],0,0,1,[],[],https://twitter.com/modernghanaweb/status/1272517994057326592,False,,0,,,,,,,,[],,,,
1271155325882769408,1271155325882769408,2020-06-11 19:00:21 UTC,2020-06-11,19:00:21,0,1077012583318728705,amazincareers,Amazin Careers,,"*Ongoing recruitment at The Economic Community of West African States (ECOWAS)* 1.) Communication Officer Location: Praia, Cape Verde Qualifications: Bachelor’s degree in journalism, public relations, mass…  https://t.co/BNby9HLv1x",en,[],['https://www.instagram.com/p/CBTkYJkFSHT/?igshid=141cqloce694u'],[],0,0,0,[],[],https://twitter.com/AmazinCareers/status/1271155325882769408,False,,0,,,,,,,,[],,,,
1255454324697825287,1255454324697825287,2020-04-29 11:10:10 UTC,2020-04-29,11:10:10,0,18502306,brooktech,Craig Brooks,,@TUIUK @TUIGroup Not a Scooby Doo from Tui and should be sipping champaign in the sky right now on the way to Cape Verde. Some kind of communication would of been nice or is that asking to much. (Happy 40th to me) #RightToRefund #tuirefund #RefundPassengers,en,"[{'screen_name': 'tuigroup', 'name': 'tui group', 'id': '41062336'}]",[],[],1,0,1,"['righttorefund', 'tuirefund', 'refundpassengers']",[],https://twitter.com/brooktech/status/1255454324697825287,False,,0,,,,,,,,[],,,,
1243792099570585603,1243792099570585603,2020-03-28 06:48:39 UTC,2020-03-28,06:48:39,0,980095440338251777,butmabexx,becky,,@tapairportugal please respond to my messages regarding getting my money back after you left me stranded with little to no communication in Cape Verde.,en,[],[],[],0,0,0,[],[],https://twitter.com/butmabexx/status/1243792099570585603,False,,0,,,,,,,,[],,,,
1242712786544795653,1242712786544795653,2020-03-25 07:19:51 UTC,2020-03-25,07:19:51,0,712192277062541313,neilblake1969,Neil Blake,,@TUIUK plrase explain why we were left in Cape Verde with NO Tui rep or ANY communications after a confirmed corona virus was identified in the hotel....we appreciate its difficult times....but you allowed us to travel but just left us void of any communication...shame on you TUI,en,[],[],[],1,0,0,[],[],https://twitter.com/NeilBlake1969/status/1242712786544795653,False,,0,,,,,,,,[],,,,
1242517017359515658,1242517017359515658,2020-03-24 18:21:56 UTC,2020-03-24,18:21:56,0,980095440338251777,butmabexx,becky,,@tapairportugal @WhichUK @BBCWatchdog Tap Portugal you cancelled my return flights home with no communication and I’ve not been offered anything by you. I was left stranded in Cape Verde but thankfully @TUIUK sold me a flight home with them. @tapairportugal you have to refund me!,en,"[{'screen_name': 'whichuk', 'name': 'which?', 'id': '20668126'}, {'screen_name': 'bbcwatchdog', 'name': 'bbc watchdog', 'id': '132849881'}, {'screen_name': 'tuiuk', 'name': 'tuiuk', 'id': '16144487'}, {'screen_name': 'tapairportugal', 'name': 'tap air portugal', 'id': '107472906'}]",[],[],2,0,0,[],[],https://twitter.com/butmabexx/status/1242517017359515658,False,,0,,,,,,,,[],,,,
