id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1251045318592004096,1251045318592004096,2020-04-17 07:10:21 UTC,2020-04-17,07:10:21,0,20619818,pedrosendao,Pedro Sendão,,😉 thanks the persons that sent us this images in Telecommunications sites👌 ✔Place: Cape Verde 🙌 Spreading magic since 1976  Have a nice weekend!  #generators #teamgrupel #racethelimits #energy #spreadgrupelenergy #gensets #grupelenergy #grupel #thebestenergy #energyeverywhere  https://t.co/1cjbbGeOrT,en,[],[],"['https://pbs.twimg.com/media/EVyapJTXsAIzm59.jpg', 'https://pbs.twimg.com/media/EVyapJYXgAEOg1A.jpg', 'https://pbs.twimg.com/media/EVyapJeWoAEYwwy.jpg']",0,0,1,"['generators', 'teamgrupel', 'racethelimits', 'energy', 'spreadgrupelenergy', 'gensets', 'grupelenergy', 'grupel', 'thebestenergy', 'energyeverywhere']",[],https://twitter.com/pedrosendao/status/1251045318592004096,False,,1,https://pbs.twimg.com/media/EVyapJTXsAIzm59.jpg,,,,,,,[],,,,
1217623573642317824,852974770639560704,2020-01-16 01:44:16 UTC,2020-01-16,01:44:16,0,852933395952939011,wikipediachain,Wikipedia Chain,,Telecommunications link &gt; Network and Switching Subsystem &gt; IMT Advanced &gt; ITU-R &gt; Alfred Vail &gt; Data transmission circuit &gt; Telecommunication &gt; Telecommunications in Cape Verde &gt; Military of Cape Verde &gt; Economy of Cape Verde &gt; Gypsum &gt; Pakistan &gt; Bibcode &gt; Check digit &gt; Israel,en,[],[],[],1,0,0,[],[],https://twitter.com/wikipediachain/status/1217623573642317824,False,,0,,,,,,,,[],,,,
1210306227802169364,1210306227802169364,2019-12-26 21:07:45 UTC,2019-12-26,21:07:45,0,2865698158,canariashub,Canary Islands Hub,,"Do you know Canary Islands have an excellent air and maritime connectivity and latest-technology telecommunications? 48 flights per week to African destinations, including Morocco, Senegal, Mauritania, Cape Verde and The Gambia   https://t.co/rq7zeCtvTv",en,[],['https://canaryislandshub.com/competitive-advantages/excellent-connectivity'],[],0,2,2,[],[],https://twitter.com/canariashub/status/1210306227802169364,False,,0,,,,,,,,[],,,,
1180486834922635265,1180486834922635265,2019-10-05 14:16:08 UTC,2019-10-05,14:16:08,0,80967806,isaiasbr,Isaias Barreto Rosa,,"After several years representing ECOWAS in regional meetings, I was delighted to represent Cape Verde, this time around, at the 16th meeting of the ECOWAS Ministers of Telecommunications/ICT and Post, held yesterday, October 4, in Ouagadougou, Burkina Faso.  https://t.co/225wZEwlBS",en,[],[],"['https://pbs.twimg.com/media/EGHuesTXkAAMHah.jpg', 'https://pbs.twimg.com/media/EGHuesZX0AAj2E6.jpg', 'https://pbs.twimg.com/media/EGHuesdXkAAQyXn.jpg', 'https://pbs.twimg.com/media/EGHuesXWwAASlcy.jpg']",1,0,7,[],[],https://twitter.com/isaiasbr/status/1180486834922635265,False,,1,https://pbs.twimg.com/media/EGHuesTXkAAMHah.jpg,,,,,,,[],,,,
1132147949029527552,1132147949029527552,2019-05-25 04:54:39 UTC,2019-05-25,04:54:39,0,797404281531822081,marketrnest,Market Research Nest,,"Cape Verde Telecommunications market by Type, Stage, End-User  https://t.co/HD2rC8fTkB",fr,[],['https://marketingpack.wordpress.com/2019/05/25/cape-verde-telecommunications-market-by-type-stage-end-user/'],[],0,0,0,[],[],https://twitter.com/marketrnest/status/1132147949029527552,False,,0,,,,,,,,[],,,,
1106812484139118592,1106812484139118592,2019-03-16 07:00:34 UTC,2019-03-16,07:00:34,0,3318510966,crweworld,Crwe World,,Cape Verde Telecommunications: 2019 Market Review and Forecast to 2025  https://t.co/prSZGTMWy6,en,[],['http://crweworld.com/article/press-releases/1018534/cape-verde-telecommunications-2019-market-review-and-forecast-to-2025'],[],0,0,0,[],[],https://twitter.com/CrweWorld/status/1106812484139118592,False,,0,,,,,,,,[],,,,
761982100660690944,761982100660690944,2016-08-06 17:47:44 UTC,2016-08-06,17:47:44,0,4649696715,graphilately,Graphilately,,"International Telecommunications Day. Cape Verde, 1977 Design: Unknown. #graphilately #mnh  https://t.co/nY0iMupVTE  https://t.co/Tl6TME2OKP",en,[],['https://instagram.com/p/BIxrHEMBxJ2/'],['https://pbs.twimg.com/media/CpMaq2vWYAA7Uht.jpg'],0,5,7,"['graphilately', 'mnh']",[],https://twitter.com/graphilately/status/761982100660690944,False,,1,https://pbs.twimg.com/media/CpMaq2vWYAA7Uht.jpg,,,,,,,[],,,,
725603724811505664,725603724811505664,2016-04-28 08:33:03 UTC,2016-04-28,08:33:03,0,3057228622,antczakboukoms2,Terra Ye,,"A young soldier suspected of shooting dead 11 people, including eight of his fellow troops, at a telecommunications centre in Cape Verde",en,[],[],[],0,0,0,[],[],https://twitter.com/antczakboukoms2/status/725603724811505664,False,,0,,,,,,,,[],,,,
690242719873142784,690242719873142784,2016-01-21 18:41:03 UTC,2016-01-21,18:41:03,0,2764958368,boscojl65,Jose Lopes,,Cape Verde Telecommunication  https://t.co/3ZlDwB6H6a  https://t.co/upEZYbbbm3,fr,[],['http://ift.tt/1UeqyIk'],['https://pbs.twimg.com/media/CZQ8GLhWIAAsMuI.jpg'],0,0,0,[],[],https://twitter.com/BoscoJl65/status/690242719873142784,False,,1,https://pbs.twimg.com/media/CZQ8GLhWIAAsMuI.jpg,,,,,,,[],,,,
658674706325860352,658674706325860352,2015-10-26 16:01:02 UTC,2015-10-26,16:01:02,0,2535539509,wikiperdu,wikiperdu,,Telecommunications in Cape Verde —  https://t.co/jbcnbAhHKM,fr,[],['http://en.wikipedia.org/wiki/Telecommunications_in_Cape_Verde'],[],0,0,0,[],[],https://twitter.com/wikiperdu/status/658674706325860352,False,,0,,,,,,,,[],,,,
