id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1326881558372954112,1326872851769602053,2020-11-12 13:36:30 UTC,2020-11-12,13:36:30,0,849363642202165253,niyonkuruinno18,NIYONKURU Innocent,,@GorillaGamesRw cape verde iheruka mumatsinda yigikombe cya afurika 2015 yagarukiye muri GROUP STAGE(mumatsinda) telephone ni 250789231144 ninayo yanditse kuri account ya @GorillaGamesRw,tl,"[{'screen_name': 'gorillagamesrw', 'name': 'gorilla games africa', 'id': '1146478847371689984'}]",[],[],0,0,0,[],[],https://twitter.com/NIYONKURUInno18/status/1326881558372954112,False,,0,,,,,,,,"[{'screen_name': 'GorillaGamesRw', 'name': 'Gorilla Games Africa', 'id': '1146478847371689984'}]",,,,
1326880879038361603,1326872851769602053,2020-11-12 13:33:48 UTC,2020-11-12,13:33:48,0,849363642202165253,niyonkuruinno18,NIYONKURU Innocent,,@GorillaGamesRw cape verde iheruka mumatsinda yigikombe cya afurika 2015 yagarukiye muri GROUP STAGE(mumatsinda) telephone ni 250789231144 ninayo yanditse kuri account ya @GorillaGamesRw,tl,"[{'screen_name': 'gorillagamesrw', 'name': 'gorilla games africa', 'id': '1146478847371689984'}]",[],[],0,0,0,[],[],https://twitter.com/NIYONKURUInno18/status/1326880879038361603,False,,0,,,,,,,,"[{'screen_name': 'GorillaGamesRw', 'name': 'Gorilla Games Africa', 'id': '1146478847371689984'}]",,,,
1239891590614843395,1239891590614843395,2020-03-17 12:29:25 UTC,2020-03-17,12:29:25,0,1086418287184044032,thepublandlady1,Booze Free Betty 🍷🧙‍♀️🥊,,@TUIUK  As your telephone staff don’t seem to know what’s going on in the world (although they are very well informed on your refund policy)   I thought you could show them this picture. I’ve even highlighted the pertinent bit  You’re insisting I travel to Cape Verde or lose £££?  https://t.co/4h5CXorG9O,en,[],[],['https://pbs.twimg.com/media/ETT60-dWAAAijOX.jpg'],1,0,0,[],[],https://twitter.com/thepublandlady1/status/1239891590614843395,False,,1,https://pbs.twimg.com/media/ETT60-dWAAAijOX.jpg,,,,,,,[],,,,
1230447729060589570,1230447729060589570,2020-02-20 11:02:53 UTC,2020-02-20,11:02:53,0,785191947451392001,halowrenbridal,Halo&Wren Bridal,,"H O L I D A Y M O D E . We are still open, the team are looking after appointments, I’m still on social and emails but we’re not available by telephone. . . #haloandwrenonholiday @ Cape Verde, West Africa.  https://t.co/7sIggBIkGU",en,[],['https://www.instagram.com/p/B8yUsuTBBnQ/?igshid=nhvb6khxijpk'],[],0,0,0,['haloandwrenonholiday'],[],https://twitter.com/halowrenbridal/status/1230447729060589570,False,,0,,,,,,,,[],,,,
1205450531877146624,1205450531877146624,2019-12-13 11:32:57 UTC,2019-12-13,11:32:57,0,2559560089,chrometelecom,Chrome Telecom,,"📍Cape Verde  No matter where we go, we take Chrome with us, and you could too...  Get in touch with our team to find out how your telephone system could tour the world with you🌎  #FridayMotivation #FridayFeeling  https://t.co/E8z9NVbm7u",en,[],[],['https://pbs.twimg.com/media/ELqe3ieWoAAd5Kk.jpg'],0,0,0,"['fridaymotivation', 'fridayfeeling']",[],https://twitter.com/ChromeTelecom/status/1205450531877146624,False,,1,https://pbs.twimg.com/media/ELqe3ieWoAAd5Kk.jpg,,,,,,,[],,,,
1166752298179186688,1166734717204553728,2019-08-28 16:39:59 UTC,2019-08-28,16:39:59,0,1083938256,watt0s_ali,Ali Watson,,"@nigele2011 @TUIUK Their customer service is appalling too. Our son ended up slashing his foot in Cape Verde Karamboa in May. Came home in wheelchair, stitched on crutches really struggling and they haven’t even returned our email, telephone calls, tweets🤷🏻‍♀️.  Won’t let us speak to compliance dept.",en,[],[],[],3,2,3,[],[],https://twitter.com/watt0s_ali/status/1166752298179186688,False,,0,,,,,,,,"[{'screen_name': 'nigele2011', 'name': 'Nigel E', 'id': '334510342'}, {'screen_name': 'TUIUK', 'name': 'tuiuk', 'id': '16144487'}]",,,,
1026471359763935233,1026452114330066945,2018-08-06 14:13:37 UTC,2018-08-06,14:13:37,0,20384188,mancgas,Mancgas,,"@Terry_Nutkin @markbrimson @JH777365 there was a meeting of well off local business men &amp;celebs by last temporary custodians to see who would be willing to invest after Sains pulled out. Noone could say why because of legally binding agreements,but one commented Id rather buy land in Cape Verde sold over telephone😀",en,[],[],[],1,0,1,[],[],https://twitter.com/mancgas/status/1026471359763935233,False,,0,,,,,,,,"[{'screen_name': 'MarkBrimson', 'name': 'Mark Brimson', 'id': '1189688742161866752'}]",,,,
908050445448486912,908050445448486912,2017-09-13 19:31:11 UTC,2017-09-13,19:31:11,0,259449161,msgemmadenley,Gemma Denley,,"@ThomasCookUK Just amended holiday from Cuba to Cape Verde. Lady on telephone more than helpful, especially in difficult circumstances. TY!",en,[],[],[],1,0,0,[],[],https://twitter.com/MsGemmaDenley/status/908050445448486912,False,,0,,,,,,,,[],,,,
718609610911965184,718609610911965184,2016-04-09 01:20:57 UTC,2016-04-09,01:20:57,0,4903690478,falsewiki,False Wiki,,"Telephone numbers in Cape Verde is a neighbourhood located in the Chilean commune of Pichilemu, Cardenal Caro province.",en,[],[],[],0,0,0,[],[],https://twitter.com/FalseWiki/status/718609610911965184,False,,0,,,,,,,,[],,,,
572486796233330688,572486796233330688,2015-03-02 20:01:03 UTC,2015-03-02,20:01:03,0,2535539509,wikiperdu,wikiperdu,,Telephone numbers in Cape Verde —  http://t.co/IHXztbsR0X,en,[],['http://en.wikipedia.org/wiki/Telephone_numbers_in_Cape_Verde'],[],0,0,0,[],[],https://twitter.com/wikiperdu/status/572486796233330688,False,,0,,,,,,,,[],,,,
