id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1316225509827571712,1316225509827571712,2020-10-14 03:53:10 UTC,2020-10-14,03:53:10,0,150631353,kizu91,Le Nam Giang,,Netizen...Crack...Design...Conpsiracy...Joke...Apple...Unveil...New...iPhone...12...model...present...faster...5G...connectivity...smoke...notice...5...shape...body...US...UK...Central African Republic...car...Yemen...Svalbard and Jan Mayen...Norway...Fiji...earthquake...cloud,en,[],[],[],0,0,0,[],[],https://twitter.com/kizu91/status/1316225509827571712,False,,0,,,,,,,,[],,,,
1268226174293086208,1268226174293086208,2020-06-03 17:00:57 UTC,2020-06-03,17:00:57,0,2482427622,elephantcrisis,Elephant Crisis Fund,,"An inspirational move by our partner, @AfricanParks, and the government of Central African Republic that will expand protection across the Chinko basin and increase connectivity with other reserves.",en,"[{'screen_name': 'africanparks', 'name': 'african parks', 'id': '709438451633037312'}]",[],[],0,4,28,[],[],https://twitter.com/ElephantCrisis/status/1268226174293086208,False,https://twitter.com/AfricanParks/status/1266408292240293888,0,,,,,,,,[],,,,
1232787541369200640,1232787541369200640,2020-02-26 22:00:28 UTC,2020-02-26,22:00:28,0,1051824571962314758,csishumagenda,CSIS Humanitarian Agenda,,The government of the Central African Republic launched a Local Connectivity Emergency Project funded by @WorldBank with the goal of expanding humanitarian access by improving the nation’s infrastructure. Read @UNOPS latest article here:  https://t.co/vfIyr7VyzF,en,"[{'screen_name': 'worldbank', 'name': 'world bank', 'id': '27860681'}, {'screen_name': 'unops', 'name': 'unops', 'id': '204698478'}]",['http://ow.ly/dRCm50ywy8Y'],[],0,0,1,[],[],https://twitter.com/CSISHumAgenda/status/1232787541369200640,False,,0,,,,,,,,[],,,,
1199980473100967936,1199980473100967936,2019-11-28 09:16:54 UTC,2019-11-28,09:16:54,0,939174763620159488,digipathoxf,Digital Pathways at Oxford,,"We need more data of what’s going on in developing countries. Around 65% of population in LIC live in rural areas. Literacy rate among women in Central African Republic is 24%, so even if we have connectivity we are leaving people behind - @HochschildF  #DigitalDiplomacy #IGF2019",en,"[{'screen_name': 'hochschildf', 'name': 'fabrizio hochschild', 'id': '1158941809'}]",[],[],0,0,0,"['digitaldiplomacy', 'igf2019']",[],https://twitter.com/DigiPathOxf/status/1199980473100967936,False,,0,,,,,,,,[],,,,
1142827248594104321,1142822186660577281,2019-06-23 16:10:23 UTC,2019-06-23,16:10:23,0,16226809,dawn_beth,(Dawn) Beth,,"@GeoffWSYX6 Admittedly, one of the best trips I’ve ever had was with friends in Central African Republic, where the only connectivity I had was in the compound we stayed (when we turned it on) Took lots of photos &amp; videos, but zero pressure to post anything. Could just experience the time",en,[],[],[],0,0,1,[],[],https://twitter.com/Dawn_Beth/status/1142827248594104321,False,,0,,,,,,,,"[{'screen_name': 'GeoffWSYX6', 'name': 'Geoff Redick', 'id': '51312476'}]",,,,
1098922459435274241,1098922459435274241,2019-02-22 12:28:25 UTC,2019-02-22,12:28:25,0,216992383,etcluster,ETCluster,,"A data connectivity solution – deployed by ETC partners @EricssonSustain @emergency_lu – has arrived in Batangafo Central African Republic (CAR), where it will provide critical communication services to humanitarians  https://t.co/K5eDGAl6ep",en,"[{'screen_name': 'ericssonsustain', 'name': 'technology for good', 'id': '41660351'}]",['https://youtu.be/rWJIBfyi4Mc'],[],0,4,6,[],[],https://twitter.com/ETCluster/status/1098922459435274241,False,,0,,,,,,,,[],,,,
915589837771522050,915589837771522050,2017-10-04 14:50:02 UTC,2017-10-04,14:50:02,0,728264234937634817,satnewsmedia,SatNews 🛰,,Orange Shows Their Colors in Central African Republic with New High-Speed Internet Connectivity  https://t.co/FlLQP8fnoq,en,[],['http://dlvr.it/PsLKJQ'],[],0,1,0,[],[],https://twitter.com/SatNewsMedia/status/915589837771522050,False,,0,,,,,,,,[],,,,
913803055123988480,913803055123988480,2017-09-29 16:30:00 UTC,2017-09-29,16:30:00,0,388152072,ses_networks,SES Networks,,We are proud to launch new high-speed connectivity with @orange in the Central African Republic #EnablingOpportunity  https://t.co/twy81gMgvT  https://t.co/XolXdzHPxb,en,"[{'screen_name': 'orange', 'name': 'orange', 'id': '296824934'}]",['https://lnkd.in/gN_hybn'],['https://pbs.twimg.com/media/DK56vjDW4AEBhxm.jpg'],0,0,0,['enablingopportunity'],[],https://twitter.com/SES_Networks/status/913803055123988480,False,,1,https://pbs.twimg.com/media/DK56vjDW4AEBhxm.jpg,,,,,,,[],,,,
913672798173765633,913672798173765633,2017-09-29 07:52:24 UTC,2017-09-29,07:52:24,0,250983058,biztechafrica,Biztechafrica,,Orange showcases new high-speed internet connectivity in Central African Republic  https://t.co/ySmaf01Dcp,en,[],['http://fb.me/8FQBXqUSj'],[],0,0,0,[],[],https://twitter.com/Biztechafrica/status/913672798173765633,False,,0,,,,,,,,[],,,,
913672718859460608,913672718859460608,2017-09-29 07:52:06 UTC,2017-09-29,07:52:06,0,250983058,biztechafrica,Biztechafrica,,Orange showcases new high-speed internet connectivity in Central African Republic  https://t.co/rZacQYY8Xj #Internet #ICTAfrica #ICTAfrica  https://t.co/Gd6dvY6Iu1,en,[],['http://dlvr.it/PrCV01'],['https://pbs.twimg.com/media/DK4EfpTUQAA7PV6.jpg'],0,0,0,"['internet', 'ictafrica', 'ictafrica']",[],https://twitter.com/Biztechafrica/status/913672718859460608,False,,1,https://pbs.twimg.com/media/DK4EfpTUQAA7PV6.jpg,,,,,,,[],,,,
901141136047296512,901141136047296512,2017-08-25 17:56:03 UTC,2017-08-25,17:56:03,0,388152072,ses_networks,SES Networks,,Excited to partner w/ @Orange to deliver high-speed #connectivity in the Central African Republic  https://t.co/T8qpvN9R08 #ConnectedbySES  https://t.co/BK4JoJ34bf,en,"[{'screen_name': 'orange', 'name': 'orange', 'id': '296824934'}]",['http://bit.ly/2rFKuMf'],['https://pbs.twimg.com/media/DIF_FeBUQAAYBns.png'],0,1,0,"['connectivity', 'connectedbyses']",[],https://twitter.com/SES_Networks/status/901141136047296512,False,,1,https://pbs.twimg.com/media/DIF_FeBUQAAYBns.png,,,,,,,[],,,,
893073688597340160,893073688597340160,2017-08-03 11:38:54 UTC,2017-08-03,11:38:54,0,268022547,steviecses,Steve Collar,,Proud to be working with @orange to provide #connectivity in the Central African Republic  https://t.co/DaByWwgrJ3,en,"[{'screen_name': 'orange', 'name': 'orange', 'id': '296824934'}]",['http://bit.ly/2rFKuMf'],[],0,0,1,['connectivity'],[],https://twitter.com/steviecSES/status/893073688597340160,False,,0,,,,,,,,[],,,,
884858540678144000,884858540678144000,2017-07-11 19:34:50 UTC,2017-07-11,19:34:50,0,166539231,prpnews,PressReleasePoint,, https://t.co/tsnhGg0OvR Orange Central African Republic and SES Networks Partner to Reinforce Connectivity in Country,en,[],['http://tinyurl.com/yadkzmft'],[],0,0,0,[],[],https://twitter.com/prpnews/status/884858540678144000,False,,0,,,,,,,,[],,,,
