id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344021165900259328,1344021165900259328,2020-12-29 20:43:11 UTC,2020-12-29,20:43:11,0,16187637,chadpergram,Chad Pergram,,GOP ME Sen Collins: I do think that Sen Sanders holding up the vital defense authorization bill is a big mistake..I think these are two separate issues jus as Section 230 of the Telecommunications Act is a completely different issue &amp; that they should be dealt with accordingly,en,[],[],[],7,16,46,[],[],https://twitter.com/ChadPergram/status/1344021165900259328,False,,0,,,,,,,,[],,,,
1343455723859140614,1343441163123109888,2020-12-28 07:16:19 UTC,2020-12-28,07:16:19,0,21956112,chadcrichton,Chad Crichton,,"@evainfeld @TomPaineToday @LibyaLiberty @MohanadElshieky It was a MASSIVE bomb (I’ve seen speculation it could have taken months to construct) and it took out telecommunications in a large swath of territory.  What you’re doing here is weird, imho.",en,[],[],[],1,1,12,[],[],https://twitter.com/chadcrichton/status/1343455723859140614,False,,0,,,,,,,,"[{'screen_name': 'evainfeld', 'name': 'Dr Eva Infeld', 'id': '305650666'}, {'screen_name': 'TomPaineToday', 'name': 'Thomas Paine ✊', 'id': '16032967'}, {'screen_name': 'LibyaLiberty', 'name': 'hend amry', 'id': '254873869'}, {'screen_name': 'MohanadElshieky', 'name': 'Mohanad Elshieky', 'id': '3005582016'}]",,,,
1341458591673409536,1341457455906099200,2020-12-22 19:00:26 UTC,2020-12-22,19:00:26,0,1107811575468118016,carellcasey,Carell Casey,,"@Chad_Hurley It’s better to be remembered for who you are rather than the completely cruel lies created by a team of professional smear campaigners grossly misappropriating public funds and resources as well as abusing cyberspace, telecommunications, &amp; new and emerging technologies 👩‍💻 🔨 👹",en,[],[],[],0,0,0,[],[],https://twitter.com/CarellCasey/status/1341458591673409536,False,,0,,,,,,,,"[{'screen_name': 'Chad_Hurley', 'name': 'Chad Hurley', 'id': '14749070'}]",,,,
1339324936679284738,1339321408434933766,2020-12-16 21:42:03 UTC,2020-12-16,21:42:03,0,1289535534,realabd121,Abd,,@SkinSpotlights Virgin media group vs the Chad national telecommunications company!,en,[],[],[],0,0,0,[],[],https://twitter.com/realAbd121/status/1339324936679284738,False,,0,,,,,,,,"[{'screen_name': 'SkinSpotlights', 'name': 'SkinSpotlights', 'id': '517004655'}]",,,,
1331611086416719873,1330791377546989570,2020-11-25 14:49:57 UTC,2020-11-25,14:49:57,0,1105158750598508546,chad_weak,Giga Chad,,"@JackBla25356238 @lucascvvuuren @BiancavanWyk16 The largest companies in South Africa are mostly white dominated.  From Banking/finance, Natural Resources, Telecommunications, retail..etc Reserve Bank is also privately operated by a white dominated sector of finance.",en,[],[],[],0,0,0,[],[],https://twitter.com/Chad_Weak/status/1331611086416719873,False,,0,,,,,,,,"[{'screen_name': 'JackBla25356238', 'name': ""Jack's back"", 'id': '1180484210311729152'}, {'screen_name': 'lucascvvuuren', 'name': 'Lucaso ⚓️', 'id': '801858130623758336'}, {'screen_name': 'BiancavanWyk16', 'name': 'Bianca van Wyk', 'id': '1127449471929999361'}]",,,,
1328998226171731969,1328554534554185728,2020-11-18 09:47:23 UTC,2020-11-18,09:47:23,0,1105158750598508546,chad_weak,Giga Chad,,"@ThandaM2 @leigh89495495 @pierredevos @News24 Not working plus you're getting the wrong argument,   https://t.co/QeCBEq8Okf  The service sector private or public employs 72% of the south African workforce, the service sector consists of telecommunications, finance, retail, medical, legal + more...",en,[],['https://www.statista.com/statistics/578944/employment-by-economic-sector-in-south-africa/'],[],2,0,0,[],[],https://twitter.com/Chad_Weak/status/1328998226171731969,False,,0,,,,,,,,"[{'screen_name': 'ThandaM2', 'name': 'ThandaM 🔴', 'id': '816704986721746950'}, {'screen_name': 'leigh89495495', 'name': 'Leigh-na', 'id': '1176638656909586433'}, {'screen_name': 'pierredevos', 'name': 'Pierre de Vos', 'id': '41805556'}, {'screen_name': 'News24', 'name': 'News24', 'id': '14697575'}]",,,,
1326091143466070016,1326091143466070016,2020-11-10 09:15:40 UTC,2020-11-10,09:15:40,0,189110801,pctechmagazine,PC Tech Magazine,,"Airtel Africa reportedly said to have plans of selling about 4,500 telecommunication towers in five countries; Tanzania, Madagascar, Gabon, Chad, and Malawi to help reduce USD$3.5 billion of debt and prepare for bond repayments.  https://t.co/2QzzI6T2OS  #NEWS #Telecoms #Business",en,[],['https://pctechmag.com/2020/11/airtel-africa-selling-towers-to-clear-debts/'],[],0,0,0,"['news', 'telecoms', 'business']",[],https://twitter.com/pctechmagazine/status/1326091143466070016,False,,0,,,,,,,,[],,,,
1324515936238473218,1324091003947622402,2020-11-06 00:56:22 UTC,2020-11-06,00:56:22,0,1255983489515696131,thomasmazzarel1,Thomas Mazzarella,,@kayleighmcenany This is unacceptable I was there in2000 Palm Beach County at the EEOC watching the hanging Chad event .   I was a telecommunication provider at the time and did not realize the importance of what was going on Teresa Lepore had a very big job and I think we learned a great deal  https://t.co/KojMsmTlOM,en,[],[],['https://pbs.twimg.com/media/EmGgOKvWkAIw31Q.jpg'],0,0,2,[],[],https://twitter.com/ThomasMazzarel1/status/1324515936238473218,False,,1,https://pbs.twimg.com/media/EmGgOKvWkAIw31Q.jpg,,,,,,,"[{'screen_name': 'kayleighmcenany', 'name': 'Kayleigh McEnany', 'id': '259001548'}]",,,,
1321317113957511169,1321289113857888263,2020-10-28 05:05:23 UTC,2020-10-28,05:05:23,0,797558469641400320,chad_hominem,chad hominem,,"@baddogs4343 Half the population has an IQ under 100, and the 1996 Telecommunications Act was their intellectual death knell. Now a handful of companies control everything we see. Paddy was right. There are no nation states.  https://t.co/z0rTWDxuuM",en,[],['https://youtu.be/yuBe93FMiJc'],[],0,0,1,[],[],https://twitter.com/chad_hominem/status/1321317113957511169,False,,0,,,,,,,,"[{'screen_name': 'baddogs4343', 'name': '🐘Jazzie🐘', 'id': '853645234298900480'}]",,,,
1315337721599066112,1315306947151790080,2020-10-11 17:05:25 UTC,2020-10-11,17:05:25,0,797558469641400320,chad_hominem,chad hominem,,@lauferlaw @carrybeyond Why? Because Clinton signed the Telecommunications Act of 1996 and the 4th Estate became a handful of greedy corporations that put shareholder returns above their journalistic responsibilities. Witness (again) Paddy’s prescient take on what we’ve become:  https://t.co/z0rTWDxuuM,en,[],['https://youtu.be/yuBe93FMiJc'],[],0,0,2,[],[],https://twitter.com/chad_hominem/status/1315337721599066112,False,,0,,,,,,,,"[{'screen_name': 'lauferlaw', 'name': 'Andrew C Laufer, Esq', 'id': '160244947'}, {'screen_name': 'carrybeyond', 'name': 'August No Malarkey Mac', 'id': '3551046323'}]",,,,
1313349053795766273,1313349053795766273,2020-10-06 05:23:09 UTC,2020-10-06,05:23:09,0,772837904146018304,thisweekonwwe,WWE Creative ideas,,Chad Gable quits American Alpha to become a telecommunications equipment installer,en,[],[],[],0,0,0,[],[],https://twitter.com/thisweekonwwe/status/1313349053795766273,False,,0,,,,,,,,[],,,,
1296125133132685312,1296123517021364224,2020-08-19 16:41:27 UTC,2020-08-19,16:41:27,0,38974383,troy_tutt,T Tutt,,@Chad_DeLuca @Verizon @Twitch Congrats Chad. They are a great partner of @TicketManager. The most forward thinking telecommunications company we've seen.  👏,en,"[{'screen_name': 'ticketmanager', 'name': 'ticketmanager', 'id': '25246451'}]",[],[],0,0,1,[],[],https://twitter.com/Troy_Tutt/status/1296125133132685312,False,,0,,,,,,,,"[{'screen_name': 'Chad_DeLuca', 'name': 'Chad De Luca', 'id': '17748207'}, {'screen_name': 'Verizon', 'name': 'Verizon', 'id': '59889953'}, {'screen_name': 'Twitch', 'name': 'Twitch', 'id': '309366491'}]",,,,
1288186704810184706,1288186704810184706,2020-07-28 18:56:58 UTC,2020-07-28,18:56:58,0,813590426,jimmy_two_hands,jimmytwohands,,The virgin 5G oxygen vibration theorist vs the chad black hole dark DNA extradimensional telecommunications from earth’s core theorist  https://t.co/5eNLKrkkEC,en,[],[],['https://pbs.twimg.com/media/EeCO-hJXgAEKG7Z.jpg'],0,0,2,[],[],https://twitter.com/jimmy_two_hands/status/1288186704810184706,False,,1,https://pbs.twimg.com/media/EeCO-hJXgAEKG7Z.jpg,,,,,,,[],,,,
1286147113936490497,1286144002400477184,2020-07-23 03:52:22 UTC,2020-07-23,03:52:22,0,963881709795098624,meandering_chad,Chad Perez,,"@ABSCBNNews Yes, mag-pioneer in other platforms and improve on what you have now. iWant needs a lot of improvement... through that a lot of movies and series can be made. Regional programs din. maybe venture in telecommunication na rin para hindi lang Globe and Smart.",en,[],[],[],1,0,6,[],[],https://twitter.com/meandering_chad/status/1286147113936490497,False,,0,,,,,,,,"[{'screen_name': 'ABSCBNNews', 'name': 'ABS-CBN News', 'id': '15872418'}]",,,,
1284094589012447234,1284094589012447234,2020-07-17 11:56:22 UTC,2020-07-17,11:56:22,0,1281250290319097857,chad_astro,Astro Solutions Chad,,"Astro Solutions Chad étant détentrice d’une licence MVNO (Mobile Virtual Network Operator) ou opérateur mobile de réseau virtuel, est une entité qui offre des services de télécommunications similaires à un opérateur de réseau mobile (MNO).  https://t.co/jxfUXpxzVA",fr,[],[],['https://pbs.twimg.com/media/EdIFNDAWoAA4jth.jpg'],0,0,0,[],[],https://twitter.com/chad_astro/status/1284094589012447234,False,,1,https://pbs.twimg.com/media/EdIFNDAWoAA4jth.jpg,,,,,,,[],,,,
1284093935938404353,1284093935938404353,2020-07-17 11:53:46 UTC,2020-07-17,11:53:46,0,1281250290319097857,chad_astro,Astro Solutions Chad,,Le monde des télécommunications est en constante évolution et une entreprise ne peut réussir aujourd'hui sans des outils adaptés en termes de connectivité Internet.  https://t.co/BOQK2n8vNQ,fr,[],[],['https://pbs.twimg.com/media/EdIEnqQXoAEy_kh.png'],0,0,0,[],[],https://twitter.com/chad_astro/status/1284093935938404353,False,,1,https://pbs.twimg.com/media/EdIEnqQXoAEy_kh.png,,,,,,,[],,,,
1281535607806865409,1281535607806865409,2020-07-10 10:27:53 UTC,2020-07-10,10:27:53,0,845548262182567936,redcardke,RedCard Campaign,,"Chinese companies, including the China Energy Fund Committee, the telecommunications firm ZTE and the China Roads and Bridge Construction Co. , have been accused of bribing senior government officials in Chad and Uganda, Zambia and Kenya, respectively #AfricanAntiCorruptionDayKE",en,[],[],[],0,15,6,['africananticorruptiondayke'],[],https://twitter.com/RedCardKE/status/1281535607806865409,False,,0,,,,,,,,[],,,,
1276240563147137024,1276240563147137024,2020-06-25 19:47:16 UTC,2020-06-25,19:47:16,0,1218720238532874241,bruh_chad,Bruh CHAD,,Ok so i just heard about a law that might be passed called the LAED or Lawful Access to Encrypted Data. This law would allow companies to build systems that allow the police to look at any data on any form of telecommunications device. Thus allowing the government  to spy on you.,en,[],[],[],1,1,3,[],[],https://twitter.com/bruh_chad/status/1276240563147137024,False,,0,,,,,,,,[],,,,
1273782774076510209,1273782774076510209,2020-06-19 01:00:53 UTC,2020-06-19,01:00:53,0,2552721194,andersenglobal,Andersen Global,,"Andersen Global has entered into a Collaboration Agreement with Kreich Avocats, an independent full-service law firm in Chad. The firm advises clients in industries such as banking and finance, telecommunications, media, and aviation. More:  https://t.co/ngM9OBIASi  https://t.co/3b9o1wpA9w",en,[],['http://ow.ly/SILg50A5bmx'],['https://pbs.twimg.com/media/Ea1irmjXYAAzw72.jpg'],0,0,0,[],[],https://twitter.com/AndersenGlobal/status/1273782774076510209,False,,1,https://pbs.twimg.com/media/Ea1irmjXYAAzw72.jpg,,,,,,,[],,,,
