id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1268081930374963201,1268081930374963201,2020-06-03 07:27:46 UTC,2020-06-03,07:27:46,0,324792043,ed_admn,Ed-admn,,"No internet, no problem In some villages in Côte d'Ivoire, teachers took it upon themselves to continue teaching through radio broadcasting during #COVID19 self-isolation. Truly #inspiring  #UNICEF #UnitedNations  https://t.co/Mgj7lO4Gri",en,[],[],['https://pbs.twimg.com/media/EZkhUpUX0AE_5vh.png'],0,0,0,"['covid19', 'inspiring', 'unicef', 'unitednations']",[],https://twitter.com/Ed_Admn/status/1268081930374963201,False,,1,https://pbs.twimg.com/media/EZkhUpUX0AE_5vh.png,,,,,,,[],,,,
1248542250218463232,1248542250218463232,2020-04-10 09:24:03 UTC,2020-04-10,09:24:03,0,787198057,timcoy66,Tim McCoy,,A sign of #COVIDー19 times: Public TV in Côte d’Ivoire broadcasting primary school lessons while all schools continue to be closed indefinitely. 🇨🇮🇨🇮  Bravo @Educationci !!  https://t.co/r3lU9dCpvF,en,"[{'screen_name': 'educationci', 'name': ""ministère education nationale et,fp côte d'ivoire"", 'id': '2709987674'}]",[],['https://pbs.twimg.com/media/EVO2gcXU0AERnjp.jpg'],0,1,7,['covidー19'],[],https://twitter.com/TimCoy66/status/1248542250218463232,False,,1,https://pbs.twimg.com/media/EVO2gcXU0AERnjp.jpg,,,,,,,[],,,,
1202303561083891712,1202303561083891712,2019-12-04 19:08:01 UTC,2019-12-04,19:08:01,0,4501307789,pica_mofa,PICA,,"بالتعاون مع الهيئة العامة للاذاعة والتلفزيون، الوكالة الفلسطينية للتعاون الدولي تنفذ برنامج تنموي في مجال الإعلام في ساحل العاج   In close cooperation with the Palestinian Broadcasting Corporation (PBC), PICA Implements Development Program in the Field of Media in Côte d'Ivoire.  https://t.co/px9WKYDcuF",und,[],[],"['https://pbs.twimg.com/media/EK9wthWWkAIiUiB.jpg', 'https://pbs.twimg.com/media/EK9wthcXsAABJf9.jpg']",0,0,3,[],[],https://twitter.com/pica_mofa/status/1202303561083891712,False,,1,https://pbs.twimg.com/media/EK9wthWWkAIiUiB.jpg,,,,,,,[],,,,
1176879489474801664,1176879489474801664,2019-09-25 15:21:50 UTC,2019-09-25,15:21:50,0,345332145,diarzester,Ester Jacob Diarz,,"Broadcasting about  #AO_ASPIRE2019 activities in Grand Bassam, Cote d'Ivoire.",en,[],[],[],0,0,2,['ao_aspire2019'],[],https://twitter.com/DiarzEster/status/1176879489474801664,False,https://twitter.com/AO_ASPIRE/status/1176877477723066368,0,,,,,,,,[],,,,
1176273365503500290,1176273365503500290,2019-09-23 23:13:19 UTC,2019-09-23,23:13:19,0,1144297596472741895,josephsoro5,Joseph,,"Mr le mini @SidiTToure J'ai pris part à l'International Broadcasting Convention (IBC) à Amsterdam, Pays-Bas, du 12 au 17 septembre 2019. L'objectif de ma visite était d'échanger avec le consortium présent à IBC, au sujet de la Télévision Numérique Terrestre (TNT) en Côte d'Ivoire  https://t.co/NrhUPzlyHt",fr,"[{'screen_name': 'sidittoure', 'name': 'sidi tiémoko toure', 'id': '3306970671'}]",[],['https://pbs.twimg.com/media/EFL2ZB-W4AEuijE.jpg'],0,0,1,[],[],https://twitter.com/JosephSoro5/status/1176273365503500290,False,,1,https://pbs.twimg.com/media/EFL2ZB-W4AEuijE.jpg,,,,,,,[],,,,
1176099819137486853,1176099819137486853,2019-09-23 11:43:42 UTC,2019-09-23,11:43:42,0,3306970671,sidittoure,Sidi Tiémoko TOURE,,"J'ai pris part à l'International Broadcasting Convention (IBC) à #Amsterdam, Pays-Bas, du 12 au 17 septembre 2019. L'objectif de ma visite était d'échanger avec le consortium présent à IBC, au sujet de la Télévision Numérique Terrestre (TNT) en Côte d'Ivoire 🇨🇮. #STT  https://t.co/wLjBALBRlP",fr,[],[],"['https://pbs.twimg.com/media/EFJYQowXkAAFjHA.jpg', 'https://pbs.twimg.com/media/EFJYQo9WkAApyk6.jpg', 'https://pbs.twimg.com/media/EFJYU6fXYAIvl_d.jpg', 'https://pbs.twimg.com/media/EFJYU6kXkAQE1D6.jpg']",1,3,33,"['amsterdam', 'stt']",[],https://twitter.com/SidiTToure/status/1176099819137486853,False,,1,https://pbs.twimg.com/media/EFJYQowXkAAFjHA.jpg,,,,,,,[],,,,
1149722103933014018,1149722103933014018,2019-07-12 16:48:05 UTC,2019-07-12,16:48:05,0,1024277748481748992,mincomm_ci,Ministère de la Communication et des Médias,,"Le Ministre M. Sidi TOURE Accompagné par l’Ambassadeur de la Côte d’Ivoire au Royaume Uni M. Gorges ABOUA, est allé en visite à la British Broadcasting Corporation (BBC) pour s’imprégner de la gestion de cet organe de presse. #CIV  #MINCOM  #BBC  https://t.co/xYGsTzNzKJ",fr,[],[],"['https://pbs.twimg.com/media/D_ShUOaWsAAy9wl.jpg', 'https://pbs.twimg.com/media/D_ShWzDXUAET7gc.jpg', 'https://pbs.twimg.com/media/D_ShZPJWsAA9Lbq.jpg']",0,1,5,"['civ', 'mincom', 'bbc']",[],https://twitter.com/MinComm_CI/status/1149722103933014018,False,,1,https://pbs.twimg.com/media/D_ShUOaWsAAy9wl.jpg,,,,,,,[],,,,
1149719072566915073,1149719072566915073,2019-07-12 16:36:02 UTC,2019-07-12,16:36:02,0,3306970671,sidittoure,Sidi Tiémoko TOURE,,"Accompagné de l’Ambassadeur de la Côte d’Ivoire au Royaume Uni M. Gorges ABOUA, je suis allé en visite  aujourd'hui  à la British Broadcasting Corporation (#bbc) pour  m’imprégner de la gestion de cet organe de presse. #CIV #MINCOM  https://t.co/lhy00MZUny",fr,[],[],"['https://pbs.twimg.com/media/D_SfQEiXYAESjTo.jpg', 'https://pbs.twimg.com/media/D_SfSaDXYAEaEqR.jpg', 'https://pbs.twimg.com/media/D_SfVLcXsAEqrXZ.jpg']",0,0,14,"['bbc', 'civ', 'mincom']",[],https://twitter.com/SidiTToure/status/1149719072566915073,False,,1,https://pbs.twimg.com/media/D_SfQEiXYAESjTo.jpg,,,,,,,[],,,,
1133299168393474049,1133299168393474049,2019-05-28 09:09:12 UTC,2019-05-28,09:09:12,0,1052650995375845378,financialtodays,FINANCIAL TODAY,,"Ivory Coast Accelerates Digital Migration with SES ABIDJAN, Cote d’Ivoire &amp; Luxembourg -- Ivory Coast’s public broadcasting company, the Société Ivoirienne de Télédiffusion (SIDT), has selected SES as its digital partner in a major move to meet the country’s 2020 deadline fo…",en,[],[],[],0,0,0,[],[],https://twitter.com/FinancialTodays/status/1133299168393474049,False,,0,,,,,,,,[],,,,
1126169909745078272,1126169909745078272,2019-05-08 17:00:04 UTC,2019-05-08,17:00:04,0,1166542088,lichess,Lichess.org,,We're broadcasting the games from the 2019 Grand Chess Tour from Côte d'Ivoire! Watch round 1 at  https://t.co/xbbmvERt29  https://t.co/7RHYAwufqS,en,[],['https://lichess.org/broadcast/2019-grand-chess-tourn-cote-divoire-rapid-rd-1/XNuAsK4m'],"['https://pbs.twimg.com/media/D6D1W7ZXsAAv-iD.jpg', 'https://pbs.twimg.com/media/D6D1XlEXoAA4aC-.jpg']",0,2,13,[],[],https://twitter.com/lichess/status/1126169909745078272,False,,1,https://pbs.twimg.com/media/D6D1W7ZXsAAv-iD.jpg,,,,,,,[],,,,
