id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
989805345928302593,989805345928302593,2018-04-27 09:55:58 UTC,2018-04-27,09:55:58,0,6528812,fiach,Fiach,,"📱Women's Cellphone Use  Increasingly recognised as core to opportunities to participate in economy, society, &amp;politics.Some countries need to do better! Lowest:  Cuba🇨🇺 Burundi🇧🇮 S.Sudan🇸🇸 Pakistan🇵🇰 Syria🇸🇾 Madagascar🇲🇬 Djibouti🇩🇯 Ethiopia🇪🇹 Chad🇹🇩 Angola🇦🇴  https://t.co/LH02qkL2Iz",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Dbx9SCqWsAE2bNf.jpg'],0,9,15,[],[],https://twitter.com/fiach/status/989805345928302593,False,,1,https://pbs.twimg.com/tweet_video_thumb/Dbx9SCqWsAE2bNf.jpg,,,,,,,[],,,,
976238762572353539,976238762572353539,2018-03-20 23:27:13 UTC,2018-03-20,23:27:13,0,70567098,wolfwitz,Will,,When working for a cellphone company I had to politely tell a customer that we didnt offer coverage in Djibouti and that we couldn't discount his calls. This after a 3 minute conversation with a barely straight faced supervisor about the subject.  https://t.co/PFSKLgs8Bq,en,[],['https://twitter.com/NPRinskeep/status/976235143810646017'],[],0,0,0,[],[],https://twitter.com/Wolfwitz/status/976238762572353539,False,https://twitter.com/NPRinskeep/status/976235143810646017,0,,,,,,,,[],,,,
493429088041070592,493429088041070592,2014-07-27 16:13:56 UTC,2014-07-27,16:13:56,0,381990313,pucci_enrico,Enrico Pucci,,African migrants trying to capture cellphone signals in Djibouti #POY @Newseum  http://t.co/R4U3VsY9rs,en,"[{'screen_name': 'newseum', 'name': 'newseum', 'id': '1143600098842238976'}]",[],['https://pbs.twimg.com/media/BtkDJB3IAAAMnuD.jpg'],0,0,0,['poy'],[],https://twitter.com/pucci_enrico/status/493429088041070592,False,,1,https://pbs.twimg.com/media/BtkDJB3IAAAMnuD.jpg,,,,,,,[],,,,
470613805446479872,470613805446479872,2014-05-25 17:14:09 UTC,2014-05-25,17:14:09,0,1070001590,homaira76,Homaira Badr,,"Eyewitness: Djibouti, the new SOS #cellphone  http://t.co/o4MJTVzmcF",ht,[],['http://gu.com/p/3mnd6/iw'],[],0,0,0,['cellphone'],[],https://twitter.com/homaira76/status/470613805446479872,False,,0,,,,,,,,[],,,,
434384965426364416,434366588309880832,2014-02-14 17:53:41 UTC,2014-02-14,17:53:41,0,2342388984,joshuaramisch,Joshua Ramisch (he/him),, http://t.co/L41PZNJxk7 = Migrants in Djibouti trying to get cellphone signal (World Press Photo of the year)  http://t.co/29G3zEZAq5,en,[],[],"['https://pbs.twimg.com/media/Bgc-0xiCQAAqgh1.jpg', 'https://pbs.twimg.com/media/Bgb7rraIQAAJKzt.jpg']",0,1,0,[],[],https://twitter.com/JoshuaRamisch/status/434384965426364416,False,,1,https://pbs.twimg.com/media/Bgc-0xiCQAAqgh1.jpg,,,,,,,[],,,,
434382145579020288,434382145579020288,2014-02-14 17:42:28 UTC,2014-02-14,17:42:28,0,22574003,brookpete,Pete Brook,,@JohnStanmeyer's @worldpressphoto winning photo of Somali migrants in Djibouti resembles cellphone ad / SciFi-film still. Strength/weakness?,en,"[{'screen_name': 'worldpressphoto', 'name': 'world press photo', 'id': '191750596'}]",[],[],0,0,0,[],[],https://twitter.com/brookpete/status/434382145579020288,False,,0,,,,,,,,[],,,,
418512298735456256,418512298735456256,2014-01-01 22:41:22 UTC,2014-01-01,22:41:22,0,233355860,exnenamagnetica,Mariana,,Men on the Djibouti shores hope for a faint cellphone signal from neighboring Somalia  http://t.co/uWfdOoYKC1,en,[],[],['https://pbs.twimg.com/media/Bc7at-TCUAAjwVj.jpg'],1,0,0,[],[],https://twitter.com/exnenamagnetica/status/418512298735456256,False,,1,https://pbs.twimg.com/media/Bc7at-TCUAAjwVj.jpg,,,,,,,[],,,,
413064199640608769,413064199640608769,2013-12-17 21:52:34 UTC,2013-12-17,21:52:34,0,27335550,atl321,Eduardo Castellon,,#africa #djibouti #ethiopa #cellphone johnstanmeyer's photo  http://t.co/NRteNcQ2Lq,en,[],['http://instagram.com/p/iCan9mE222/'],[],0,0,0,"['africa', 'djibouti', 'ethiopa', 'cellphone']",[],https://twitter.com/ATL321/status/413064199640608769,False,,0,,,,,,,,[],,,,
326440109492822016,326433574398095360,2013-04-22 20:59:21 UTC,2013-04-22,20:59:21,0,24992356,dimetros,Dimetros Birku,,"@Edomka I know that of course. You do not use ur cellphone in betemengist or the ""Djibouti"" power is bright enough for u to tweet?",en,[],[],[],0,0,1,[],[],https://twitter.com/dimetros/status/326440109492822016,False,,0,,,,,,,,[],,,,
326438013754290177,326433574398095360,2013-04-22 20:51:02 UTC,2013-04-22,20:51:02,0,560612005,edomka,Edom Kassaye,,"@dimetros privet electricty from Djibouti, lol.  my cellphone",tl,[],[],[],1,0,1,[],[],https://twitter.com/Edomka/status/326438013754290177,False,,0,,,,,,,,[],,,,
