id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344000190852845570,1344000190852845570,2020-12-29 19:19:50 UTC,2020-12-29,19:19:50,0,1033823861928878081,fatheyayallas,Fatheya Gelleh,,"Ok. #Djibouti &amp; #Somaliland have (DARE1)consortium fibre optic cable system to boost internet connectivity on the go which is a +, However Water scarcity is an issue in Galbeed &amp; capital flight is another matter via Djibouti banks that must be investigated. Quid pro quo.",en,[],[],[],1,0,0,"['djibouti', 'somaliland']",[],https://twitter.com/fatheyayallas/status/1344000190852845570,False,https://twitter.com/abdisalamyassi1/status/1343978130122428416,0,,,,,,,,[],,,,
1339526942043860992,1339526942043860992,2020-12-17 11:04:44 UTC,2020-12-17,11:04:44,0,818009025220583424,djibtelecom,Djibouti Telecom,,The Smart Africa Alliance will launch a project in 2021 to halve the price of Internet access in Africa. Details on article below (in French).   https://t.co/BlZYzMwMvN  #africa #connectivity #Djibouti,en,[],['https://www.agenceecofin.com/internet/0912-83375-lalliance-smart-africa-lancera-en-2021-un-projet-visant-a-reduire-de-moitie-le-prix-de-lacces-a-internet-en-afrique'],[],0,1,1,"['africa', 'connectivity', 'djibouti']",[],https://twitter.com/Djibtelecom/status/1339526942043860992,False,,0,,,,,,,,[],,,,
1336627151190319105,1336627151190319105,2020-12-09 11:02:00 UTC,2020-12-09,11:02:00,0,270256882,nkdidier,Didier Nkurikiyimfura,,H.E. President @IsmailOguelleh has spoken of the need and importance of connectivity to #Africa. He spoke of the investments that #Djibouti is making in broadband connectivity. He stressed the need to use technology to build a more ambitious future for #Africa.  @RealSmartAfrica  https://t.co/FwMfptRltl,en,"[{'screen_name': 'ismailoguelleh', 'name': 'ismail omar guelleh', 'id': '3297036587'}, {'screen_name': 'realsmartafrica', 'name': 'smart africa org', 'id': '1652408840'}]",[],"['https://pbs.twimg.com/media/EoynSaeXMAAt7_9.jpg', 'https://pbs.twimg.com/media/EoynS98XYAMxBcF.jpg', 'https://pbs.twimg.com/media/EoynTU7W4AAOPc1.jpg', 'https://pbs.twimg.com/media/EoynTxcXEAAhNSD.jpg']",0,1,1,"['africa', 'djibouti', 'africa']",[],https://twitter.com/nkdidier/status/1336627151190319105,False,,1,https://pbs.twimg.com/media/EoynSaeXMAAt7_9.jpg,,,,,,,[],,,,
1335942565250572289,1335942565250572289,2020-12-07 13:41:42 UTC,2020-12-07,13:41:42,0,1652408840,realsmartafrica,Smart Africa Org,,H.E. President @IsmailOguelleh has spoken of the need and importance of connectivity to #Africa. He spoke of the investments that #Djibouti is making in broadband connectivity. He stressed the need to use technology to build a more ambitious future for #Africa. #SASBoard2020  https://t.co/su6kEfd3gY,en,"[{'screen_name': 'ismailoguelleh', 'name': 'ismail omar guelleh', 'id': '3297036587'}]",[],['https://pbs.twimg.com/media/Eoo4SkmUUAI21bh.jpg'],0,5,14,"['africa', 'djibouti', 'africa', 'sasboard2020']",[],https://twitter.com/RealSmartAfrica/status/1335942565250572289,False,,1,https://pbs.twimg.com/media/Eoo4SkmUUAI21bh.jpg,,,,,,,[],,,,
1331205775306461186,1331205771783237635,2020-11-24 11:59:24 UTC,2020-11-24,11:59:24,0,1225149024,dpfza,DPFZA,,"It is also great to see #Djibouti ports used as a case study in the report, highlighting our strategic geographic location, #infrastructure and #connectivity. @omar_hadi  https://t.co/f2q8tZjW2f",en,"[{'screen_name': 'omar_hadi', 'name': 'aboubaker omar hadi', 'id': '4100953035'}]",[],['https://pbs.twimg.com/media/EnlkVeMXYAAEb5s.png'],1,0,2,"['djibouti', 'infrastructure', 'connectivity']",[],https://twitter.com/dpfza/status/1331205775306461186,False,,1,https://pbs.twimg.com/media/EnlkVeMXYAAEb5s.png,,,,,,,[],,,,
1325820860968611840,1325820860968611840,2020-11-09 15:21:40 UTC,2020-11-09,15:21:40,0,1199967392178360321,fatoumaebrahim,Fatouma Ali,,Post #COVID19 world has drawn the best humanly possible experiences on solidarity and connectivity to support children’s rights and we must come to the fore in post covid-19 pandemic #Djibouti 🇩🇯.   #ForEveryChild #TheDjiboutiWeWant  https://t.co/LVJeuI1EE6,en,[],[],['https://pbs.twimg.com/media/EmZDC7PXYAE1udp.jpg'],0,3,10,"['covid19', 'djibouti', 'foreverychild', 'thedjiboutiwewant']",[],https://twitter.com/FatoumaEbrahim/status/1325820860968611840,False,,1,https://pbs.twimg.com/media/EmZDC7PXYAE1udp.jpg,,,,,,,[],,,,
1320681766777167873,1320681766777167873,2020-10-26 11:00:44 UTC,2020-10-26,11:00:44,0,818009025220583424,djibtelecom,Djibouti Telecom,,Djibouti Telecom - we exchange across all boundaries. Our updated Global Network Map: #telecom #submarinecable #subsea #connectivity #djibouti  https://t.co/7wz32bhUxO,en,[],[],['https://pbs.twimg.com/media/ElQBCu0WkAMQ8CF.jpg'],2,2,9,"['telecom', 'submarinecable', 'subsea', 'connectivity', 'djibouti']",[],https://twitter.com/Djibtelecom/status/1320681766777167873,False,,1,https://pbs.twimg.com/media/ElQBCu0WkAMQ8CF.jpg,,,,,,,[],,,,
1308366200225902592,1308366200225902592,2020-09-22 11:23:05 UTC,2020-09-22,11:23:05,0,1225149024,dpfza,DPFZA,,"Djibouti’s M/V Africa Sun continues to strengthen #trade and #connectivity in #EastAfrica, as it docks at the port of Kismayo in #Somalia. This will be a great opportunity for #Jubaland businessmen to engage with global commerce! @omar_hadi  https://t.co/8eFsxeedCq",en,"[{'screen_name': 'omar_hadi', 'name': 'aboubaker omar hadi', 'id': '4100953035'}]",[],"['https://pbs.twimg.com/media/EihABWoXsAElz4T.jpg', 'https://pbs.twimg.com/media/EihACXBXsAAC4cN.jpg']",1,3,13,"['trade', 'connectivity', 'eastafrica', 'somalia', 'jubaland']",[],https://twitter.com/dpfza/status/1308366200225902592,False,,1,https://pbs.twimg.com/media/EihABWoXsAElz4T.jpg,,,,,,,[],,,,
1301706085347270656,1301706085347270656,2020-09-04 02:18:09 UTC,2020-09-04,02:18:09,0,1275466852475580416,airlinerevenue,airlinerevenuemanagement,,Qatar Airways Offers More Global Connectivity Than Any Other Airline. #AirlineRevenueManagement #Ankara #Baghdad #Basra #Djibouti #Erbil #HoChiMinhCity #Houston #Kathmandu #London #Mogadishu #NewYork #Philadelphia #QatarAirways #QR #Sialkot #Sulaymaniyah  https://t.co/53Y2hbpeEd  https://t.co/HutjhHzNOU,en,[],['https://airlinerevenuemanagement.net/qatar-airways-offers-more-global-connectivity-than-any-other-airline/'],['https://pbs.twimg.com/media/EhCWyUXXsAA6ec1.jpg'],0,0,0,"['airlinerevenuemanagement', 'ankara', 'baghdad', 'basra', 'djibouti', 'erbil', 'hochiminhcity', 'houston', 'kathmandu', 'london', 'mogadishu', 'newyork', 'philadelphia', 'qatarairways', 'qr', 'sialkot', 'sulaymaniyah']",[],https://twitter.com/airlinerevenue/status/1301706085347270656,False,,1,https://pbs.twimg.com/media/EhCWyUXXsAA6ec1.jpg,,,,,,,[],,,,
1295374136659902467,1295374132981501952,2020-08-17 14:57:15 UTC,2020-08-17,14:57:15,0,717325154452418561,port_salalah,Port Of Salalah,,"2️⃣ خدمة جي جي إس التي تقدمها شركة جلوبال فيدر للشحن إمكانية الربط مع الموانئ المطلة على البحر الأحمر في جيبوتي والمملكة العربية السعودية والأردن  The JJS service of Global Feeder Shipping has enhanced connectivity to ports in the Red Sea like Djibouti, Saudi Arabia and Jordan.",und,[],[],[],2,2,9,[],[],https://twitter.com/port_salalah/status/1295374136659902467,False,,0,,,,,,,,[],,,,
