id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1328717922118807561,1328456095036280833,2020-11-17 15:13:33 UTC,2020-11-17,15:13:33,0,1091713259345010688,bigl55554341,حسن,,@AbshirHashiii @redseaomzz I’m not talking about Djibouti or Somali fed lines that where created by colonialist. I’m talking about land land. If you ever been with caravan or been in the desert you should know that the elders have agreements that go centuries back.,en,[],[],[],1,0,0,[],[],https://twitter.com/BigL55554341/status/1328717922118807561,False,,0,,,,,,,,"[{'screen_name': 'AbshirHashiii', 'name': 'Abshir hashi 🇩🇯🇸🇴', 'id': '1315957934304755718'}, {'screen_name': 'redseaomzz', 'name': '⚔️', 'id': '1194719728025120770'}]",,,,
1288860738124165120,1288854541983768578,2020-07-30 15:35:20 UTC,2020-07-30,15:35:20,0,3100174815,duganist,Patrick Dugan,,@kimgits1 I think PBoC doing that is a monetary parallel to giving fiscal loans to e.g. Djibouti and then claiming land when it defaults. CNY swap lines basically a call on trade deficit with given a commodity-producing lefty country. They plan to get ahead on gold as this race concludes.,en,[],[],[],2,0,1,[],[],https://twitter.com/duganist/status/1288860738124165120,False,,0,,,,,,,,"[{'screen_name': 'kimgits1', 'name': 'Kim Gits', 'id': '491350788'}]",,,,
1230921861241999361,1230442501200338945,2020-02-21 18:26:55 UTC,2020-02-21,18:26:55,0,871797965547089921,dekadaughter,🏝Dekasdaughter💜❤️ ✍️,,@SaidAbdullahiDe @IsmailOguelleh Shouldn’t the President of Djibouti be meeting with the legitimate President of Somalia? Mr Deni is a governor of a state or a ‘President’ of a qabeel. Let’s not kid ourselves  &amp; stop playing qabeel politics or divide our mother land along clan lines.,en,[],[],[],0,0,0,[],[],https://twitter.com/dekadaughter/status/1230921861241999361,False,,0,,,,,,,,"[{'screen_name': 'SaidAbdullahiDe', 'name': 'President Said Abdullahi Deni', 'id': '1189051015972249600'}, {'screen_name': 'IsmailOguelleh', 'name': 'Ismail Omar Guelleh', 'id': '3297036587'}]",,,,
1202180780933492736,1202168245299621889,2019-12-04 11:00:08 UTC,2019-12-04,11:00:08,0,4833238144,wanduta8,WaNduta,,"@Kangethe_Mb Vodoo economists have been SHOUTING from rooftops about corruption in SGR procurement; without a shred of evidence. Of course, they are silent on NLC outrageous land  compensation. They said the Djibouti~Addis line much better; turn it fails to operate; without prior warning.",en,[],[],[],0,2,3,[],[],https://twitter.com/WaNduta8/status/1202180780933492736,False,,0,,,,,,,,"[{'screen_name': 'Kangethe_Mb', 'name': 'ɐnɓnqW ɐʍ ǝɥʇǝɓuɐꓘ 🇰🇪™', 'id': '1010432945251856389'}]",,,,
1186838397643612161,1186777051577147393,2019-10-23 02:54:59 UTC,2019-10-23,02:54:59,0,899337326840754176,factsonrwanda,Facts On Rwanda,,"@cchukudebelu #FactsOnRwanda:  #Rwanda has an airline that flies to Africa Europe &amp; Asia  With #Tanzania &amp; #DRCongo, they're partnering to construct a Railway line that links Indian Ocean to Atlantic Ocean.  Also Rwanda has a coastal land in #Djibouti which they're planning to utilize.  https://t.co/leYTT2QiKZ",en,[],[],"['https://pbs.twimg.com/media/EHh_M9gXUAAPw66.jpg', 'https://pbs.twimg.com/media/EHh_NksWkAAVQH-.jpg', 'https://pbs.twimg.com/media/EHh_OT3WsAAWifT.jpg']",0,0,0,"['factsonrwanda', 'rwanda', 'tanzania', 'drcongo', 'djibouti']",[],https://twitter.com/FactsOnRwanda/status/1186838397643612161,False,,1,https://pbs.twimg.com/media/EHh_M9gXUAAPw66.jpg,,,,,,,"[{'screen_name': 'cchukudebelu', 'name': 'Onye Nkuzi', 'id': '266867464'}]",,,,
1162902275666264064,1162902275666264064,2019-08-18 01:41:22 UTC,2019-08-18,01:41:22,0,1050631363592769537,ccecc8,CCECC,,"Now the first electrified rail line connecting Ethiopia's capital Addis Ababa to Djibouti is stretching along this land filled with hope! It not only shortens the distance on the African continent, but also connects the hearts of the people!  https://t.co/hQkf7E6bvK",en,[],['https://youtu.be/iRI8mWyoIdM'],[],1,1,8,[],[],https://twitter.com/CCECC8/status/1162902275666264064,False,,0,,,,,,,,[],,,,
1153289878316244992,1153289878316244992,2019-07-22 13:05:08 UTC,2019-07-22,13:05:08,0,1050631363592769537,ccecc8,CCECC,,"#ActionsToGreenLand These seedlings planted at Lebu station, a key stop along the rail line connecting Addis Ababa to Djibouti, will grow into luxuriant trees to make the Ethiopian land greener in the future! 💪💪  https://t.co/sBFOg4wMIJ",en,[],[],"['https://pbs.twimg.com/media/EAFO2OPXUAAwNsc.jpg', 'https://pbs.twimg.com/media/EAFO3jbWwAE_WZs.jpg', 'https://pbs.twimg.com/media/EAFO8ZDXoAEEx6Z.jpg', 'https://pbs.twimg.com/media/EAFO-O6XkAAo2Bb.jpg']",0,4,60,['actionstogreenland'],[],https://twitter.com/CCECC8/status/1153289878316244992,False,,1,https://pbs.twimg.com/media/EAFO2OPXUAAwNsc.jpg,,,,,,,[],,,,
1135810009315598336,1135537266829512705,2019-06-04 07:26:23 UTC,2019-06-04,07:26:23,0,15871868,bigbrovar,Othell Yarwyck,,@Chxta @asemota @MendelsNzeh @sugabelly Access to the sea ensured Eritrea could not be blockaded. Guaranteed their supply lines. Ironically getting supplies was much difficult for the landlocked Eth. Heavy hardware had to come via Djibouti or Kenya over land. This kept Eritrea in the game enough to ensure a stalemate,en,[],[],[],3,0,0,[],[],https://twitter.com/bigbrovar/status/1135810009315598336,False,,0,,,,,,,,"[{'screen_name': 'Chxta', 'name': 'Chxta', 'id': '35455609'}, {'screen_name': 'asemota', 'name': 'Osaretin Victor Asemota', 'id': '5404442'}, {'screen_name': 'Mendelsnzeh', 'name': 'Mendels', 'id': '4878598299'}, {'screen_name': 'sugabelly', 'name': 'SB 🌕', 'id': '15743628'}]",,,,
1105768223620952066,1105768223620952066,2019-03-13 09:51:03 UTC,2019-03-13,09:51:03,0,979469935,shabtezion,Semhar,,"A land locked nation like Ethiopia is building its navy, whilist Eritrea with all its coastal line has what? The French it seems will be supporting Ethiopias Naval forces. Mind you, France already has a presence in Djibouti.",en,[],[],[],1,0,3,[],[],https://twitter.com/SHabtezion/status/1105768223620952066,False,https://twitter.com/leonard_vincent/status/1105608739846045696,0,,,,,,,,[],,,,
1097521559873482752,1097521559873482752,2019-02-18 15:41:45 UTC,2019-02-18,15:41:45,0,1061631724520685568,sonofdarwish,Mohamed Olad,,"In the early 19th century England, France, Italy, Ethiopia, and Egypt all seized land from this country for their own agendas. Now somalia is ready to erase the fake colonial border lines and connect back its original- #Somalia #HOP #Mogadishu #Hargeisa #Wajir #Djibouti #Puntland  https://t.co/7zRPz93XvX",en,[],[],['https://pbs.twimg.com/media/DzsuCm2WwAAcUT9.jpg'],0,0,4,"['somalia', 'hop', 'mogadishu', 'hargeisa', 'wajir', 'djibouti', 'puntland']",[],https://twitter.com/sonofdarwish/status/1097521559873482752,False,,1,https://pbs.twimg.com/media/DzsuCm2WwAAcUT9.jpg,,,,,,,[],,,,
