id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1238944178974973952,1238804727367901184,2020-03-14 21:44:45 UTC,2020-03-14,21:44:45,0,27498100,ariif,Capt. Arif J.,,@MariaSTsehai It's probably an undersea cable as Djibouti and Somalia were also affected.,en,[],[],[],1,0,0,[],[],https://twitter.com/ariif/status/1238944178974973952,False,,0,,,,,,,,"[{'screen_name': 'MariaSTsehai', 'name': 'Maria Sarungi Tsehai', 'id': '24312877'}]",,,,
1237449381873209344,1237360147950899202,2020-03-10 18:44:57 UTC,2020-03-10,18:44:57,0,551283615,festusmwangi,Sirngisty Sirlongo,,"@MisleWilliam @bakeandbrewadd A new undersea cable has landed in Kenya,Internet will be like  air here. Is there an undersea cable in Ethiopia my be through Djibouti as Kenya is building another FOC redundancy through southern Ethiopia to Nairobi.",en,[],[],[],1,0,1,[],[],https://twitter.com/FestusMwangi/status/1237449381873209344,False,,0,,,,,,,,"[{'screen_name': 'bakeandbrewadd', 'name': 'Bake & Brew', 'id': '900280184422752256'}]",,,,
1236956552227106817,1236956552227106817,2020-03-09 10:06:38 UTC,2020-03-09,10:06:38,0,788391126231293952,esf_consultants,ESF Consultants,,ESF Consultants took part in undertaking the ESIA and permitting for the Djibouti Africa Regional Express 1 (DARE1) submarine cable.  Dare 1 becomes the fifth undersea cable broadband infrastructure to link Kenya with the rest of the world.   https://t.co/drZp9xNmIx  https://t.co/hwvLKdHjME,en,[],['https://www.kbc.co.ke/east-africas-largest-submarine-cable-lands-in-mombasa/'],['https://pbs.twimg.com/media/ESqLeH7XkAACdVa.jpg'],0,2,5,[],[],https://twitter.com/ESF_Consultants/status/1236956552227106817,False,,1,https://pbs.twimg.com/media/ESqLeH7XkAACdVa.jpg,,,,,,,[],,,,
1236591320761802752,1236591320761802752,2020-03-08 09:55:20 UTC,2020-03-08,09:55:20,0,218161558,ngatia__,Gilbeys Based Organism,,Why is the net so bad and the Djibouti undersea cable was launched jana?,en,[],[],[],0,0,0,[],[],https://twitter.com/Ngatia__/status/1236591320761802752,False,,0,,,,,,,,[],,,,
1221137462472343552,1221137462472343552,2020-01-25 18:27:13 UTC,2020-01-25,18:27:13,0,567454494,eritreastruggle,Filmon Zerai,,"Djibouti Tensions With Somaliland   ""Conflict brewing between Djibouti and Somaliland over the the DARE undersea cable project. Somaliland coastguards turned away a ship laying the cable because Djibouti sought permission for the ship from Somalia and not Hargeisa.""",en,[],[],[],0,1,2,[],[],https://twitter.com/EritreaStruggle/status/1221137462472343552,False,https://twitter.com/SirSomaliland/status/1221009092808003586,0,,,,,,,,[],,,,
1221051343777017856,1221051343777017856,2020-01-25 12:45:01 UTC,2020-01-25,12:45:01,0,1101177012037787650,eslanderkow,Eslander,,Conflict brewing between Djibouti and Somaliland over the the DARE undersea cable project. Somaliland coastguards turned away a ship laying the cable because Djibouti sought permission for the ship from Somalia and not Hargeisa.,en,[],[],[],0,2,11,[],[],https://twitter.com/Eslanderkow/status/1221051343777017856,False,,0,,,,,,,,[],,,,
1219879808047468544,965305033133838342,2020-01-22 07:09:45 UTC,2020-01-22,07:09:45,0,1073361090,willisowiti,Willis Owiti,,"@solo_ambuku @AndrewMKamau @haiyay @surambaya @hervegogo @DumeSingh @nderi_j @MihrThakar @waweru @TheAfroMaverick @GachanjaMuigai @IEAKwame @WanjikuRevolt @jmosoro @alykhansatchu @Rnagila @coldtusker @wmnjoya @JerotichSeii @DavidNdii @SafaricomLtd @TelkomKenya @johnallannamu @Equitel_ke @AIRTEL_KE @bobcollymore @GeorgeBodo @SafaricomPLC @AnalysysMason @liquidtelecom @WehliyeMohamed @hermanmanyora @LukoyeAtwoli @jaindikisero @kenjapala @IEAKenya @profkagwanja @HassanOmarH @MutahiNgunyi @pmathuki @jamessmat @CBKKenya @mugokibati @CarolineMutoko @LeonLidigu @JimnahMbaru @CAK_Kenya @KenyaTreasury  https://t.co/0IWGKa3qMz Installation of a 4,854-km undersea cable,whose landing point in Kenya will be managed by Telkom Kenya,has started. An update from Djibouti Telecom says that (DARE1) submarine cable system has already landed at La Siesta Beach in the Horn of Africa country",en,[],['https://www.businessdailyafrica.com/corporate/companies/Sh24bn-sea-cable-installation-starts/4003102-5426746-13xmd9f/index.html'],[],3,1,4,[],[],https://twitter.com/WillisOwiti/status/1219879808047468544,False,,0,,,,,,,,"[{'screen_name': 'solo_ambuku', 'name': 'Solomon Ambuku', 'id': '2460352694'}, {'screen_name': 'AndrewMKamau', 'name': 'FCCA Andrew Kamau', 'id': '1078629473606664192'}, {'screen_name': 'haiyay', 'name': 'haiyay', 'id': '1012584736265527296'}, {'screen_name': 'surambaya', 'name': 'Sura Mbaya', 'id': '10909702'}, {'screen_name': 'hervegogo', 'name': 'Herve Gogo', 'id': '3243158501'}, {'screen_name': 'DumeSingh', 'name': 'Singh', 'id': '920238314178916357'}, {'screen_name': 'nderi_j', 'name': 'Nderi, J', 'id': '147992355'}, {'screen_name': 'MihrThakar', 'name': 'Mihr Thakar', 'id': '862624394916626432'}, {'screen_name': 'waweru', 'name': 'Frantz Fanon', 'id': '7248362'}, {'screen_name': 'TheAfroMaverick', 'name': 'The_African_Maverick', 'id': '926785728037634050'}, {'screen_name': 'GachanjaMuigai', 'name': 'GM', 'id': '306709502'}, {'screen_name': 'IEAKwame', 'name': 'Kwame Owino', 'id': '1139524920'}, {'screen_name': 'WanjikuRevolt', 'name': 'Wanjikũ Revolution™', 'id': '244593474'}, {'screen_name': 'jmosoro', 'name': 'Jared Osoro', 'id': '3823052835'}, {'screen_name': 'alykhansatchu', 'name': 'Aly-Khan Satchu', 'id': '21303464'}, {'screen_name': 'Rnagila', 'name': 'Robert Nagila', 'id': '105382622'}, {'screen_name': 'coldtusker', 'name': 'coldtusker', 'id': '18718676'}, {'screen_name': 'wmnjoya', 'name': '#LandFirst Mwalimu Wandia', 'id': '405874056'}, {'screen_name': 'JerotichSeii', 'name': '#SwitchOffKPLC', 'id': '402645467'}, {'screen_name': 'DavidNdii', 'name': 'David Ndii', 'id': '715851056148791296'}, {'screen_name': 'SafaricomLtd', 'name': 'SafaricomTld', 'id': '908548745486229504'}, {'screen_name': 'TelkomKenya', 'name': 'Telkom Kenya', 'id': '114396856'}, {'screen_name': 'johnallannamu', 'name': 'John-Allan Namu', 'id': '79596159'}, {'screen_name': 'Equitel_ke', 'name': '𝐂𝐚𝐬𝐡 𝐀𝐩𝐩', 'id': '2865407698'}, {'screen_name': 'AIRTEL_KE', 'name': 'Airtel Kenya', 'id': '191765987'}, {'screen_name': 'bobcollymore', 'name': 'Bob Collymore', 'id': '96399121'}, {'screen_name': 'GeorgeBodo', 'name': 'George Bodo', 'id': '63738985'}, {'screen_name': 'SafaricomPLC', 'name': 'Safaricom PLC', 'id': '117685967'}, {'screen_name': 'AnalysysMason', 'name': 'Analysys Mason', 'id': '20590731'}, {'screen_name': 'liquidtelecom', 'name': 'Liquid Telecom', 'id': '3064327593'}, {'screen_name': 'WehliyeMohamed', 'name': 'Mohamed Wehliye', 'id': '257905607'}, {'screen_name': 'hermanmanyora', 'name': 'Herman Manyora', 'id': '900991906200551424'}, {'screen_name': 'LukoyeAtwoli', 'name': '(Soaring) Free Radical', 'id': '61223693'}, {'screen_name': 'jaindikisero', 'name': 'jaindi kisero', 'id': '322038623'}, {'screen_name': 'kenjapala', 'name': '#COVID19', 'id': '1012296636'}, {'screen_name': 'IEAKenya', 'name': 'IEA Kenya', 'id': '219583381'}, {'screen_name': 'profkagwanja', 'name': 'Peter Kagwanja', 'id': '2616962058'}, {'screen_name': 'HassanOmarH', 'name': 'Senator Hassan Omar', 'id': '705021398'}, {'screen_name': 'MutahiNgunyi', 'name': 'Mutahi Ngunyi', 'id': '320316357'}, {'screen_name': 'pmathuki', 'name': 'Dr.Peter Mathuki', 'id': '1003305108'}, {'screen_name': 'jamessmat', 'name': 'James Smart', 'id': '28089461'}, {'screen_name': 'CBKKenya', 'name': 'Central Bank of Kenya', 'id': '929220067'}, {'screen_name': 'mugokibati', 'name': 'Mugo Kibati', 'id': '277169830'}, {'screen_name': 'CarolineMutoko', 'name': 'Caroline Mutoko', 'id': '2301252554'}, {'screen_name': 'LeonLidigu', 'name': 'Leon Lidigu 🇰🇪', 'id': '2522344603'}, {'screen_name': 'JimnahMbaru', 'name': 'Jimnah Mbaru', 'id': '485481599'}, {'screen_name': 'CAK_Kenya', 'name': 'Competition Authority of Kenya', 'id': '1358835919'}, {'screen_name': 'KenyaTreasury', 'name': 'Treasury Kenya', 'id': '4415877083'}]",,,,
1219501500604600320,1219501500604600320,2020-01-21 06:06:29 UTC,2020-01-21,06:06:29,0,710425811925471232,rabdianalyst,Rashid Abdi,,"Kenya, Somalia and Djibouti telecoms cooperate in undersea cable project. Very nice.    https://t.co/HiaTdH24dc",en,[],['https://www.ecofinagency.com/telecom/2001-40864-djibouti-telecom-somtel-and-telkom-kenya-announce-that-installation-of-the-dare1-submarine-cable-system-is-underway'],[],0,3,10,[],[],https://twitter.com/RAbdiAnalyst/status/1219501500604600320,False,,0,,,,,,,,[],,,,
1006905352984678400,1006902373011349504,2018-06-13 14:25:18 UTC,2018-06-13,14:25:18,0,1541223547,girumtweets,Girum®🇪🇹,,"Conversely. #Kenya enjoys a substantial &amp; quality (capacity: 500Gbit-12 Tbit/s) undersea cable ownerships. Djibouti and Somalia are also a landing point for many international peering, and transit. “#ThePortastheSourceofDrinkingWaterforEritreanCamels - #MiscalculationofTheCentury",en,[],[],[],0,0,1,"['kenya', 'theportasthesourceofdrinkingwaterforeritreancamels', 'miscalculationofthecentury']",[],https://twitter.com/GirumTweets/status/1006905352984678400,False,,0,,,,,,,,[],,,,
946885943381897216,946885943381897216,2017-12-29 23:29:35 UTC,2017-12-29,23:29:35,0,1872233054,chinatradenews,China Trade News,,RT @ChinaAfricaBlog: #China's @Huawei Marine advancing #BRI connectivity: PEACE undersea cable to connect #Pakistan #Djibouti #Somalia &amp; #Kenya w/ extension to #SouthAfrica #Egypt &amp; Europe  https://t.co/I1nzk7pnmE #OBOR #Gwadar #Karachi #CPEC #OneBeltOne…  https://t.co/R7s9OQ1jAh,en,"[{'screen_name': 'chinaafricablog', 'name': 'chinaafricablog', 'id': '732363570'}, {'screen_name': 'huawei', 'name': 'huawei', 'id': '98047213'}]",['http://www.lightwaveonline.com/articles/2017/12/huawei-marine-to-begin-survey-for-peace-submarine-cable-following-desktop-study.html'],['https://pbs.twimg.com/media/DSPrYk7W4AIrcXX.png'],0,0,0,"['china', 'bri', 'pakistan', 'djibouti', 'somalia', 'kenya', 'southafrica', 'egypt', 'obor', 'gwadar', 'karachi', 'cpec', 'onebeltone']",[],https://twitter.com/ChinaTradeNews/status/946885943381897216,False,,1,https://pbs.twimg.com/media/DSPrYk7W4AIrcXX.png,,,,,,,[],,,,
