id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1247953203410407426,1247953203410407426,2020-04-08 18:23:24 UTC,2020-04-08,18:23:24,0,1229388504645427206,cemacecofinance,Cemac-eco.finance,,Equatorial Guinea strengthens internet connectivity to curb Covid-19  https://t.co/X3JVM561ZB,en,[],['https://cemac-eco.finance/equatorial-guinea-strengthens-internet-connectivity-to-curb-covid-19/?lang=en'],[],0,6,6,[],[],https://twitter.com/CemacEcoFinance/status/1247953203410407426,False,,0,,,,,,,,[],,,,
1208660473232547841,1208660473232547841,2019-12-22 08:08:07 UTC,2019-12-22,08:08:07,0,1161568141614493696,globalgreenline,Greenline Technologies Global,,Greenline Technologies Best wireless Solution Provider for 2019 Awarded by CV Magazine  #cvmagazine #Connectivity #wireless #Tanzania #Angola #equatorialguinea #  https://t.co/l9HSm3qStu,en,[],[],['https://pbs.twimg.com/media/EMYGD94WkAEWvLA.jpg'],0,0,0,"['cvmagazine', 'connectivity', 'wireless', 'tanzania', 'angola', 'equatorialguinea']",[],https://twitter.com/GlobalGreenline/status/1208660473232547841,False,,1,https://pbs.twimg.com/media/EMYGD94WkAEWvLA.jpg,,,,,,,[],,,,
1186228032601837569,1186206890247766016,2019-10-21 10:29:36 UTC,2019-10-21,10:29:36,0,2223334334,jkdodiya,Jaykishan Dodiya,,"@JioCare I am in india, just came before a week. Butbi would like to know that is your connectivity is there in Equatorial Guinea, west Africa.",en,[],[],[],0,0,0,[],[],https://twitter.com/JkDodiya/status/1186228032601837569,False,,0,,,,,,,,"[{'screen_name': 'JioCare', 'name': 'JioCare', 'id': '1373901961'}]",,,,
1110823366477471745,1110823366477471745,2019-03-27 08:38:23 UTC,2019-03-27,08:38:23,0,2165520254,a_kafas,Andronikos Kafas,,"Gabon, Equatorial Guinea, Germany, Mozambique, and Scotland all contributing to discussion on energy connectivity between land &amp; sea #MSPFoRUm #MSPglobal #marinespatialplanning #msp  https://t.co/Uhf30tDCjR",en,[],[],['https://pbs.twimg.com/media/D2pv6oNWsAACVFt.jpg'],1,5,19,"['mspforum', 'mspglobal', 'marinespatialplanning', 'msp']",[],https://twitter.com/a_kafas/status/1110823366477471745,False,,1,https://pbs.twimg.com/media/D2pv6oNWsAACVFt.jpg,,,,,,,[],,,,
1068457073678184450,1068456778445320192,2018-11-30 10:49:51 UTC,2018-11-30,10:49:51,0,1054301861023490048,oscarondoeg,Dr. Oscar Ondo,,Please read further to learn how we're expanding connectivity and increasing the adoption of modern technologies in Equatorial Guinea. through regional cooperation.  https://t.co/bF2kAwi6E5,en,[],['https://www.linkedin.com/pulse/from-annob%C3%B3n-world-oscar-ondo'],[],0,2,2,[],[],https://twitter.com/OscarOndoEG/status/1068457073678184450,False,,0,,,,,,,,[],,,,
1047113991137452037,1047113991137452037,2018-10-02 13:20:04 UTC,2018-10-02,13:20:04,0,56412100,friendsunaoc,Friends of UNAOC,,"New subsea cable linking the islands of Sao Tome and Principe with Equatorial Guinea will relieve the island’s reliance on #satellite services, boosting #connectivity and high speed capacity  https://t.co/XupbegSUpt   https://t.co/HklHcbbHzB",en,[],"['http://ow.ly/JKby30m3yW0', 'http://ow.ly/AVke30m3yWw']",[],0,0,0,"['satellite', 'connectivity']",[],https://twitter.com/friendsunaoc/status/1047113991137452037,False,,0,,,,,,,,[],,,,
1004438031305232384,1004438031305232384,2018-06-06 19:01:02 UTC,2018-06-06,19:01:02,0,153827532,egembassy,EG Embassy DC,,#EquatorialGuinea Leads Africa in Telecommunications Connectivity  https://t.co/hCDg3ckiKr #EG #GITGE,en,[],['https://buff.ly/2xNXMy2'],[],0,0,1,"['equatorialguinea', 'eg', 'gitge']",[],https://twitter.com/EGEmbassy/status/1004438031305232384,False,,0,,,,,,,,[],,,,
999727191532494848,999727191532494848,2018-05-24 19:01:51 UTC,2018-05-24,19:01:51,0,3781510577,breakingavnews,Breaking Aviation News & Videos,,ch-aviation: Equatorial Guinea seeks increased European connectivity  https://t.co/RY5VNP0Xva  https://t.co/9VNO8QqtZW,en,[],['http://avnewsnet.com/2018/05/24/equatorial-guinea-seeks-increased-european-connectivity/'],['https://pbs.twimg.com/media/Dd--lQbX4AgKLRZ.jpg'],0,0,1,[],[],https://twitter.com/breakingavnews/status/999727191532494848,False,,1,https://pbs.twimg.com/media/Dd--lQbX4AgKLRZ.jpg,,,,,,,[],,,,
999724935227428864,999724935227428864,2018-05-24 18:52:53 UTC,2018-05-24,18:52:53,0,81806596,chaviation,ch-aviation,,Equatorial Guinea seeks increased European connectivity  https://t.co/EnkyqcOybn  https://t.co/Jujg8K2OUr,en,[],['http://dlvr.it/QTzthj'],['https://pbs.twimg.com/media/Dd-8h6iUQAANICm.jpg'],0,0,1,[],[],https://twitter.com/chaviation/status/999724935227428864,False,,1,https://pbs.twimg.com/media/Dd-8h6iUQAANICm.jpg,,,,,,,[],,,,
901354502615379968,901354502615379968,2017-08-26 08:03:54 UTC,2017-08-26,08:03:54,0,126955629,kagutamuseveni,Yoweri K Museveni,,Visiting Equatorial Guinea is also to reaffirm the oneness of African people.We should use this connectivity to build strength &amp; prosperity.,en,[],[],[],15,52,185,[],[],https://twitter.com/KagutaMuseveni/status/901354502615379968,False,,0,,,,,,,,[],,,,
