id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1337482206026080256,1337482206026080256,2020-12-11 19:39:41 UTC,2020-12-11,19:39:41,0,29531790,nehandaradio,Nehanda Radio,,France wins against Equatorial Guinea in mansion row - Nehanda Radio -  https://t.co/0DU9fHArH6  https://t.co/fX0a7fi0SR,en,[],['https://nehandaradio.com/2020/12/11/france-wins-against-equatorial-guinea-in-mansion-row/'],['https://pbs.twimg.com/media/Eo-w-nrXEAIEpgr.jpg'],0,0,0,[],[],https://twitter.com/NehandaRadio/status/1337482206026080256,False,,1,https://pbs.twimg.com/media/Eo-w-nrXEAIEpgr.jpg,,,,,,,[],,,,
1334441371927769088,1334441371927769088,2020-12-03 10:16:30 UTC,2020-12-03,10:16:30,0,780517716713021440,excusesbot,Work Excuses Bot,,They accidentally shipped my radio to Equatorial Guinea so that's why I couldn't do my homework.,en,[],[],[],0,0,0,[],[],https://twitter.com/ExcusesBot/status/1334441371927769088,False,,0,,,,,,,,[],,,,
1334129908705079304,1334129908705079304,2020-12-02 13:38:51 UTC,2020-12-02,13:38:51,0,1266573392821587968,revista_reg,RevistaRealEquatorialGuinea🇬🇶,,"El Ministerio de Información, Prensa y Radio planifica los trabajos del 2021 para la mejora de los servicios de TVGE  https://t.co/D1gzQzfB1I via @| |  Revista Real Equatorial Guinea #RREG #Guineaecuatorial #Prensa #Radio #CEMAC #TVGE",es,[],['https://realequatorialguinea.com/destacado/politica/el-ministerio-de-informacion-prensa-y-radio-planifica-los-trabajos-del-2021-para-la-mejora-de-los-servicios-de-tvge/'],[],1,0,0,"['rreg', 'guineaecuatorial', 'prensa', 'radio', 'cemac', 'tvge']",[],https://twitter.com/Revista_REG/status/1334129908705079304,False,,0,,,,,,,,[],,,,
1329467075803422723,1329467075803422723,2020-11-19 16:50:25 UTC,2020-11-19,16:50:25,0,1266573392821587968,revista_reg,RevistaRealEquatorialGuinea🇬🇶,,"A disposición judicial los implicados en el caso de malversación de 7 mil millones en el Ministerio de Información, Prensa y Radio  https://t.co/xpJLrBBjh5 via @| |  Revista Real Equatorial Guinea #RREG #Corrupcion @La_Vice_Press #Guineaecuatorial #CEMAC #Gendarmeria",es,"[{'screen_name': 'la_vice_press', 'name': 'la vicepresidencia', 'id': '1030914757010890754'}]",['https://realequatorialguinea.com/destacado/politica/a-disposicion-judicial-los-implicados-en-el-caso-de-malversacion-de-7-mil-millones-en-el-ministerio-de-informacion-prensa-y-radio/'],[],0,0,0,"['rreg', 'corrupcion', 'guineaecuatorial', 'cemac', 'gendarmeria']",[],https://twitter.com/Revista_REG/status/1329467075803422723,False,,0,,,,,,,,[],,,,
1327216735653666817,1327216735653666817,2020-11-13 11:48:22 UTC,2020-11-13,11:48:22,0,779485406886854656,bclnews_it,bclnews.it,,"Equatorial Guinea, Radio Nacional, Bata, 5005, is back after more than 5 months out of air -  https://t.co/gV4aTVO5Gw  https://t.co/XvoI11Lsgl",en,[],['https://www.bclnews.it/2020/11/11/equatorial-guinea-radio-nacional-bata-5005-is-back-after-more-than-5-months-out-of-air/'],['https://pbs.twimg.com/media/Ems4ljiXIAAsMXm.jpg'],0,0,1,[],[],https://twitter.com/bclnews_it/status/1327216735653666817,False,,1,https://pbs.twimg.com/media/Ems4ljiXIAAsMXm.jpg,,,,,,,[],,,,
1324597314556710917,1324597314556710917,2020-11-06 06:19:44 UTC,2020-11-06,06:19:44,0,1288379694300008448,radio_punchline,Radio Punchline Africa,,"#RadioPunchline   #PaulBiya will clock 38 years as president of #Cameroon today, November 6, maintaining his position as Africa’s second longest-ruling leader.  He is only beaten by Teodoro Obiang Nguema of #EquatorialGuinea, who has been in power for nearly 41 years.  https://t.co/kTzI9mBOYg",en,[],[],['https://pbs.twimg.com/media/EmHqAnHXYAAzG-J.jpg'],0,0,5,"['radiopunchline', 'paulbiya', 'cameroon', 'equatorialguinea']",[],https://twitter.com/radio_punchline/status/1324597314556710917,False,,1,https://pbs.twimg.com/media/EmHqAnHXYAAzG-J.jpg,,,,,,,[],,,,
1324456868304035842,1324456868304035842,2020-11-05 21:01:39 UTC,2020-11-05,21:01:39,0,1266573392821587968,revista_reg,RevistaRealEquatorialGuinea🇬🇶,,"Más de 7 mil millones de francos CFA malversados en el Ministerio de Información, Prensa y Radio  https://t.co/F3sXUpjSYp via @| |  Revista Real Equatorial Guinea #realequatorialguinea #guineaecuatorial #Malversacion #Corrupcion @La_Vice_Press #CEMAC",es,"[{'screen_name': 'la_vice_press', 'name': 'la vicepresidencia', 'id': '1030914757010890754'}]",['https://realequatorialguinea.com/destacado/politica/mas-de-7-mil-millones-de-francos-cfa-malversados-en-el-ministerio-de-informacion-prensa-y-radio/'],[],0,0,0,"['realequatorialguinea', 'guineaecuatorial', 'malversacion', 'corrupcion', 'cemac']",[],https://twitter.com/Revista_REG/status/1324456868304035842,False,,0,,,,,,,,[],,,,
1316212479526010881,1316212479526010881,2020-10-14 03:01:23 UTC,2020-10-14,03:01:23,0,150631353,kizu91,Le Nam Giang,,Amaze...Insane...Photo...Radio...Show...Flurry...Activity...Nevada...Test...Range...satellite...local...operator...notice...US...UK...military...top...secret...Training...NTTR...spike...plane...aircraft...signal...new...train...car...event...Russia...Liberia...Equatorial...Guinea,en,[],[],[],0,0,0,[],[],https://twitter.com/kizu91/status/1316212479526010881,False,,0,,,,,,,,[],,,,
1315693725956403207,1315693725956403207,2020-10-12 16:40:03 UTC,2020-10-12,16:40:03,0,1108679382988668928,afglobalradio,Africa Global Radio,,Did you know Equatorial Guinea used to be called the “Spanish Guinea”? - Africa Global Radio  https://t.co/FuYN6klJaG  #DidYouKnow #EquatorialGuinea #OurStoryOurGrowthOurFuture,en,[],['https://www.africaglobalradio.com/did-you-know-equatorial-guinea-used-to-be-called-the-spanish-guinea/'],[],0,0,0,"['didyouknow', 'equatorialguinea', 'ourstoryourgrowthourfuture']",[],https://twitter.com/AFGlobalRadio/status/1315693725956403207,False,,0,,,,,,,,[],,,,
1315592335703580673,1315592335703580673,2020-10-12 09:57:10 UTC,2020-10-12,09:57:10,0,1108679382988668928,afglobalradio,Africa Global Radio,,"The Malabo National Park - Malabo, Equatorial Guinea - Africa Global Radio  https://t.co/bemjs6HTWS  #AGRimageoftheweek #EquatorialGuinea #OurStoryOurGrowthOurFuture",en,[],['https://www.africaglobalradio.com/the-malabo-national-park-malabo-equatorial-guinea/'],[],0,0,0,"['agrimageoftheweek', 'equatorialguinea', 'ourstoryourgrowthourfuture']",[],https://twitter.com/AFGlobalRadio/status/1315592335703580673,False,,0,,,,,,,,[],,,,
