id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1343358330467708929,1343358330467708929,2020-12-28 00:49:19 UTC,2020-12-28,00:49:19,0,1339340859452612611,gurjaftwi1,Stop Genocide on Tgray.,,"The fascist Eritrea troops, Ethiopia troops, Amhara militia and Fano Amhara the cellphone information document deleted. Where is UN, UNHCR, Human rights watch, USA amensty international, Du@amensty international. No electronic, no communication etc.  https://t.co/xusKZDtb4o",en,[],[],['https://pbs.twimg.com/media/EqSRSDIXEAAKQ1m.jpg'],0,0,0,[],[],https://twitter.com/Gurjaftwi1/status/1343358330467708929,False,,1,https://pbs.twimg.com/media/EqSRSDIXEAAKQ1m.jpg,,,,,,,[],,,,
1280073779968978944,1280073728987222016,2020-07-06 09:39:06 UTC,2020-07-06,09:39:06,0,1265549380041539584,arbdurrahman,Abdr'Rahman,,"Cellphone ownership is also very low in Eritrea. The state tightly controls the telecommunication services, with citizens needing the government's permission to own sim cards. In fact, just 1% of Eritreans are able to access the Internet. #facts #AfricaNow  https://t.co/QYxv5nd23N",en,[],[],['https://pbs.twimg.com/media/EcO8UZdXgAA2ZYr.jpg'],1,0,0,"['facts', 'africanow']",[],https://twitter.com/arbdurrahman/status/1280073779968978944,False,,1,https://pbs.twimg.com/media/EcO8UZdXgAA2ZYr.jpg,,,,,,,[],,,,
1254967947711467521,1254967947711467521,2020-04-28 02:57:29 UTC,2020-04-28,02:57:29,0,780517716713021440,excusesbot,Work Excuses Bot,,They accidentally shipped my cellphone to Eritrea so that's why I couldn't do my project.,en,[],[],[],0,0,0,[],[],https://twitter.com/ExcusesBot/status/1254967947711467521,False,,0,,,,,,,,[],,,,
1205229862576893964,1205229862576893964,2019-12-12 20:56:05 UTC,2019-12-12,20:56:05,0,991976316290371584,travellingzoo,Travelling Zoo,,Why did the Camel properly cross the cellphone? To travel to Eritrea!,en,[],[],[],0,0,0,[],[],https://twitter.com/travellingzoo/status/1205229862576893964,False,,0,,,,,,,,[],,,,
1176519182525112320,1176509282696740864,2019-09-24 15:30:06 UTC,2019-09-24,15:30:06,0,579409840,natnasuhul,Natna Suhul ናትና ሱሑል ሚካኤል💛⭐❤️❤️,,@daniel_berhane Frivolous attempt to intimidate students by unlawfully collecting parents' address for Eritrea-esque parental harassment.  Students should fill 'none' for parent/guardian &amp; cellphone #.  FYI: It doesn't hold parents/guardians liable for student offense.,en,[],[],[],0,0,2,[],[],https://twitter.com/natnaSuhul/status/1176519182525112320,False,,0,,,,,,,,"[{'screen_name': 'daniel_berhane', 'name': 'Daniel Berhane', 'id': '90339504'}]",,,,
1165161409509916672,1165088848327503873,2019-08-24 07:18:22 UTC,2019-08-24,07:18:22,0,799686775929061377,wedisawa,“You cannot shake hands with a clenched fist.”,,@jmichaelseyfert @maxkeiser @Locha_io Patchy lol . You are nice about :)  Eritrea has the lowest cellphone penetration in the world. Mine Bitcoin in Eritrea haha you are funny.. #Eritrea #yiakl #ethiopia #Sudan,en,[],[],[],0,0,2,"['eritrea', 'yiakl', 'ethiopia', 'sudan']",[],https://twitter.com/wedisawa/status/1165161409509916672,False,,0,,,,,,,,"[{'screen_name': 'jmichaelseyfert', 'name': 'J. Michael Seyfert', 'id': '3259220820'}, {'screen_name': 'maxkeiser', 'name': 'Max Keiser', 'id': '20374262'}, {'screen_name': 'Locha_io', 'name': 'Locha Mesh. The resilient network #Bitcoin & chat', 'id': '1013750736'}]",,,,
1145848541207814145,1145848541207814145,2019-07-02 00:15:55 UTC,2019-07-02,00:15:55,0,780517716713021440,excusesbot,Work Excuses Bot,,They accidentally shipped my cellphone to Eritrea so that's why I couldn't do my homework.,en,[],[],[],0,0,0,[],[],https://twitter.com/ExcusesBot/status/1145848541207814145,False,,0,,,,,,,,[],,,,
1129508303699152901,1129302635775975425,2019-05-17 22:05:39 UTC,2019-05-17,22:05:39,0,753568927268077569,dessu81,Desale,,"@YohannaPaulos Internet is just basic necessity everywhere but in Eritrean only 1% use it, and on a cellphone not accessible!  So it is not surprising if they close it!   Ask why this low connection in Eritrea?",en,[],[],[],0,0,0,[],[],https://twitter.com/dessu81/status/1129508303699152901,False,,0,,,,,,,,"[{'screen_name': 'YohannaPaulos', 'name': 'Yohanna Paulos', 'id': '829399014'}]",,,,
1103787054855569410,1103787051961511938,2019-03-07 22:38:35 UTC,2019-03-07,22:38:35,0,764746601273384960,sent_al,Sent_Al,,"In the same token, cellphone ownership was prohibited for government officials, military personnel &amp; students. Basically that makes the whole of #ERITREA. Only my grandma was admissible to have a cellphone to organise her “UKUB” friends.",en,[],[],[],1,0,1,['eritrea'],[],https://twitter.com/Sent_Al/status/1103787054855569410,False,,0,,,,,,,,[],,,,
1021855214855438336,1021855214855438336,2018-07-24 20:30:43 UTC,2018-07-24,20:30:43,0,768054593045471232,tewerwari_1,Simon K Hagos,,ንጓል መለስ ዜናዊ Cellphone ዘሕድጋ'ዶ ተሳኢኑ?  ህወሓትን ቲቪ ትግራይን ከቶ ለቢመን ኣይፈልጣን፡ እንተ እቲ ህዝቢ ትግራይ እሞ፡ ቐደም ዉን ህግሓኤ እዩ ንመሰሉ ተጣቢቕሉ። ሕጂ ዉን ሓንቲ ዘላቶ ተስፋ ካባና'ዩ።  #Eritrea  https://t.co/ZO3ydBjVef,am,[],[],['https://pbs.twimg.com/media/Di5b5tkVAAA1UCR.jpg'],1,0,1,['eritrea'],[],https://twitter.com/tewerwari_1/status/1021855214855438336,False,,1,https://pbs.twimg.com/media/Di5b5tkVAAA1UCR.jpg,,,,,,,[],,,,
