id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344392812738064386,1344323612694568961,2020-12-30 21:19:58 UTC,2020-12-30,21:19:58,0,1324151604308824064,debalkewtsehay,sunshine,,"@UNGeneva @UNHumanRights @mbachelet 57 days since dictator @AbiyAhmedAli, local forces &amp; Eritrea soldiers to wage war against the people of #Tigray UnitedNation   Tigray still has no access to: 🛑 Food 🛑 Water 🛑 Medicine 🛑 Cash  🛑 Fuel 🛑 Electricity  🛑 Internet/phone connectivity  #TigrayGenocide scaling up.",en,"[{'screen_name': 'abiyahmedali', 'name': 'abiy ahmed ali 🇪🇹', 'id': '1168167671151628290'}]",[],[],0,0,4,"['tigray', 'tigraygenocide']",[],https://twitter.com/DebalkewTsehay/status/1344392812738064386,False,,0,,,,,,,,"[{'screen_name': 'UNGeneva', 'name': 'UN Geneva', 'id': '164263382'}, {'screen_name': 'UNHumanRights', 'name': 'UN Human Rights', 'id': '69231187'}, {'screen_name': 'mbachelet', 'name': 'Michelle Bachelet', 'id': '4119914644'}]",,,,
1344014432360394755,1341394663429840896,2020-12-29 20:16:25 UTC,2020-12-29,20:16:25,0,1324151604308824064,debalkewtsehay,sunshine,,"@DadeDesta Still continue, 56days since dictator @AbiyAhmedAli, local forces &amp; Eritrea soldiers to wage war against the people of #TigrayGenocide @UNGeneva @UN  Tigray still has no access to: 🛑 Food 🛑 Water 🛑 Medicine 🛑 Cash  🛑 Fuel 🛑 Electricity  🛑 Internet/phone connectivity",en,"[{'screen_name': 'abiyahmedali', 'name': 'abiy ahmed ali 🇪🇹', 'id': '1168167671151628290'}, {'screen_name': 'ungeneva', 'name': 'un geneva', 'id': '164263382'}, {'screen_name': 'un', 'name': 'united nations', 'id': '14159148'}]",[],[],0,0,0,['tigraygenocide'],[],https://twitter.com/DebalkewTsehay/status/1344014432360394755,False,,0,,,,,,,,"[{'screen_name': 'DadeDesta', 'name': 'Dade Desta', 'id': '2193764078'}]",,,,
1343988043359764480,1343988043359764480,2020-12-29 18:31:34 UTC,2020-12-29,18:31:34,0,1216593050,mulukidanu,mulu kidanu,,"55 days since dictator @AbiyAhmedAli, local forces &amp; Eritrea soldiers to wage war against the people of #Tigray. UnitedNation  Tigray still has no access to: 🛑 Food 🛑 Water 🛑 Medicine 🛑 Cash  🛑 Fuel 🛑 Electricity  🛑 Internet/phone connectivity  #TigrayGenocide scaling up.",en,"[{'screen_name': 'abiyahmedali', 'name': 'abiy ahmed ali 🇪🇹', 'id': '1168167671151628290'}]",[],[],0,0,0,"['tigray', 'tigraygenocide']",[],https://twitter.com/MuluKidanu/status/1343988043359764480,False,,0,,,,,,,,[],,,,
1343973333566631938,1343973333566631938,2020-12-29 17:33:07 UTC,2020-12-29,17:33:07,0,1324151604308824064,debalkewtsehay,sunshine,,"56days since dictator @AbiyAhmedAli, local forces &amp; Eritrea soldiers to wage war against the people of #Tigray UnitedNation  Tigray still has no access to: 🛑 Food 🛑 Water 🛑 Medicine 🛑 Cash  🛑 Fuel 🛑 Electricity  🛑 Internet/phone connectivity  #TigrayGenocide scaling up.",en,"[{'screen_name': 'abiyahmedali', 'name': 'abiy ahmed ali 🇪🇹', 'id': '1168167671151628290'}]",[],[],1,3,2,"['tigray', 'tigraygenocide']",[],https://twitter.com/DebalkewTsehay/status/1343973333566631938,False,,0,,,,,,,,[],,,,
1333863264942497792,1333862598492753929,2020-12-01 19:59:19 UTC,2020-12-01,19:59:19,0,1273668820725620737,danumulu22,Daniel,,"However, in Eritrea, they are still using SAS-1 fiber cables, a type of cable that would be considered obsolete for linking the country to the world and allowing internet connectivity and phone calls  https://t.co/4NZKHx3QG4",en,[],[],['https://pbs.twimg.com/media/EoLVkH1XUAARwkT.png'],1,0,1,[],[],https://twitter.com/danumulu22/status/1333863264942497792,False,,1,https://pbs.twimg.com/media/EoLVkH1XUAARwkT.png,,,,,,,[],,,,
1327744240500289536,1327744240500289536,2020-11-14 22:44:29 UTC,2020-11-14,22:44:29,0,1149988264637542400,qohaitostandard,9🄰🅁🄴1 🆀🆂 🇪🇷,,"tplf diabolical agenda was to cut the link between #Eritrea and amhare,but this will soon be restored. narration gonder was once connected to asmara via humera &amp; tessenei route, according to witness there must have been a flourishing connectivity. #TheEvilWillDisappear #Ethiopia",en,[],[],[],0,0,2,"['eritrea', 'theevilwilldisappear', 'ethiopia']",[],https://twitter.com/qohaitostandard/status/1327744240500289536,False,,0,,,,,,,,[],,,,
1311049460584263681,1310652433840955398,2020-09-29 21:05:24 UTC,2020-09-29,21:05:24,0,539216014,g_haile,GHaile,,"@iamhabizi @AbrahaAsgedoms @Can_Do_People The discussion is about infrastructural investment in general, and the fibre optics is only one item in that. The point here is Eritrea wasn't allowed to import any kind of communication equipment during the sanctions regime. That explains a lot why we've low connectivity today.",en,[],[],[],0,0,0,[],[],https://twitter.com/G_Haile/status/1311049460584263681,False,,0,,,,,,,,"[{'screen_name': 'iamhabizi', 'name': 'Haben Hagos', 'id': '272858520'}, {'screen_name': 'AbrahaAsgedoms', 'name': 'Michael', 'id': '1281162646599933954'}, {'screen_name': 'Can_Do_People', 'name': 'Mussie Sibhatu 🇪🇷', 'id': '827439919'}]",,,,
1286951404733706245,1286085536743137280,2020-07-25 09:08:19 UTC,2020-07-25,09:08:19,0,1197932740500439042,etiopiaunite,Addis Abeba Arada ➐,,"@Y80Ol54O @bel_ee @Marnjam1 @ethiowatch1 @daniel_berhane @AbiyAhmedAli @MarrooOro1 @awolallo @FBedaso @henokgabisa @ittaanaa_haftee Poverty + child mortality dropped across all Africa past 2 decades. There are several variables to take into account account to explain mostly better connectivity, knowledge, technology and financial and Human Resources. We lost 200k people in border war with Eritrea.",en,[],[],[],2,0,0,[],[],https://twitter.com/EtiopiaUnite/status/1286951404733706245,False,,0,,,,,,,,"[{'screen_name': 'Y80Ol54O', 'name': 'Gabriel Talaat', 'id': '1204458738352041985'}, {'screen_name': 'bel_ee', 'name': 'Ben_E', 'id': '712939632'}, {'screen_name': 'Marnjam1', 'name': 'Mar(ኣለወሃ-ለማሊሞ)', 'id': '2742810913'}, {'screen_name': 'ethiowatch1', 'name': 'ETHIOWATCH', 'id': '403570062'}, {'screen_name': 'daniel_berhane', 'name': 'Daniel Berhane', 'id': '90339504'}, {'screen_name': 'AbiyAhmedAli', 'name': 'Abiy Ahmed Ali 🇪🇹', 'id': '1168167671151628290'}, {'screen_name': 'MarrooOro1', 'name': 'Justice4Oromia❤💚❤🌳', 'id': '1011712133048889344'}, {'screen_name': 'awolallo', 'name': 'Awol Allo', 'id': '757319280'}, {'screen_name': 'FBedaso', 'name': 'Fatuma Bedhaso', 'id': '488505706'}, {'screen_name': 'henokgabisa', 'name': 'Hᴇɴᴏᴋ G. Gᴀʙɪsᴀ', 'id': '375202034'}, {'screen_name': 'ittaanaa_haftee', 'name': 'Etana Habte', 'id': '859784085383905282'}]",,,,
1270441567376101384,1270438799718440962,2020-06-09 19:44:07 UTC,2020-06-09,19:44:07,0,3292643687,onyumajson,Json Onyuma,,@1MISTER_N These countries are still behind in terms of internet connectivity..Eritrea for example only 0.8% of the population has access to the internet..,en,[],[],[],0,1,0,[],[],https://twitter.com/OnyumaJson/status/1270441567376101384,False,,0,,,,,,,,"[{'screen_name': '1MISTER_N', 'name': 'N 🇰🇪', 'id': '2160846828'}]",,,,
1262460112276525057,1262460112276525057,2020-05-18 19:08:40 UTC,2020-05-18,19:08:40,0,64694296,adawit,Dawit G,,China to build submarine cable in Africa to enhance connectivity. I hope #Eritrea will harness this opportunity. #Eritrea is currently the least connected with 1% internet,en,[],[],[],1,0,1,"['eritrea', 'eritrea']",[],https://twitter.com/ADawit/status/1262460112276525057,False,https://twitter.com/AmbShinn/status/1262419433378594818,0,,,,,,,,[],,,,
